FID,Plot,Orientation,Lat,Lon,Spacing,Height,Width
11_Frost,1,108,54.14502722,-125.898482,2,122,1
11_Frost,2,108,54.14503445,-125.8984565,2,127,1
11_Frost,3,108,54.14504175,-125.8984279,2,128,1
11_Frost,4,108,54.14504969,-125.8984009,2,106,1
11_Frost,5,108,54.14505907,-125.8983713,2,103,1
11_Frost,6,108,54.14506781,-125.8983396,2,110,1
11_Frost,7,108,54.14507741,-125.8983104,2,128,1
11_Frost,8,108,54.14508564,-125.8982807,2,128,1
11_Frost,9,108,54.1450943,-125.8982526,2,130,1
11_Frost,10,108,54.14510227,-125.8982244,2,131,1
11_Frost,11,108,54.14510996,-125.8981989,2,4,1
11_Frost,12,108,54.14511817,-125.8981704,2,129,1
11_Frost,13,108,54.14512585,-125.8981449,2,96,1
11_Frost,14,108,54.1451349,-125.8981191,2,105,1
11_Frost,15,108,54.14514453,-125.8980883,2,129,1
