FID,Plot,Orientation,Lat,Lon,Spacing,Height,Width
9_Dry,1,0,54.20759363,-125.367511,2,6,6
9_Dry,2,0,54.20759083,-125.3673238,2,6,6
9_Dry,3,0,54.20759074,-125.3671358,2,6,6
9_Dry,4,0,54.20748447,-125.367514,2,6,6
9_Dry,5,0,54.20748114,-125.3673258,2,6,6
9_Dry,6,0,54.20747942,-125.3671387,2,6,6
9_Dry,7,0,54.20737484,-125.3675132,2,6,6
9_Dry,8,0,54.20737369,-125.3673243,2,6,6
9_Dry,9,0,54.20737022,-125.3671435,2,6,6
9_Dry,10,0,54.20726837,-125.3675163,2,6,6
9_Dry,11,0,54.20726935,-125.3673294,2,6,6
9_Dry,12,0,54.20726487,-125.3671448,2,6,6
9_Dry,13,0,54.20716301,-125.3675186,2,6,6
9_Dry,14,0,54.20716129,-125.3673315,2,6,6
9_Dry,15,0,54.20715791,-125.3671461,2,6,6
