FID,Plot,Orientation,Lat,Lon,Spacing,Height,Width
9_Mesic,1,0,54.20621633,-125.3563461,2,6,6
9_Mesic,2,0,54.20621443,-125.356157,2,6,6
9_Mesic,3,0,54.20621298,-125.3559714,2,6,6
9_Mesic,4,0,54.20610958,-125.3563469,2,6,6
9_Mesic,5,0,54.20610817,-125.3561596,2,6,6
9_Mesic,6,0,54.2061077,-125.3559758,2,6,6
9_Mesic,7,0,54.20600384,-125.3563487,2,6,6
9_Mesic,8,0,54.20600092,-125.3561604,2,6,6
9_Mesic,9,0,54.20599789,-125.3559773,2,6,6
9_Mesic,10,0,54.20589559,-125.3563486,2,6,6
9_Mesic,11,0,54.2058911,-125.3561628,2,6,6
9_Mesic,12,0,54.20588809,-125.3559789,2,6,6
9_Mesic,13,0,54.20578628,-125.3563511,2,6,6
9_Mesic,14,0,54.20578229,-125.3561653,2,6,6
9_Mesic,15,0,54.20578131,-125.3559815,2,6,6
