FID,Plot,Row,Column,Date,Species,Seedlot,TreeID,Height,Diameter,Condition ,Dmg.Agent,Dmg.Severity,Comment
6_Mesic,1,1,1,2019-09-24,Lw,63578,1,,,Fair,,,
6_Mesic,1,2,1,2019-09-24,Lw,63578,2,,,Fair,,,
6_Mesic,1,3,1,2019-09-24,Lw,63578,3,,,Fair,,,
6_Mesic,1,4,1,2019-09-24,Lw,63578,4,,,Fair,,,
6_Mesic,1,5,1,2019-09-24,Lw,63578,5,,,Fair,,,
6_Mesic,1,6,1,2019-09-24,Lw,63578,6,,,Fair,,,6
6_Mesic,1,1,2,2019-09-24,Lw,63578,7,,,Fair,,,
6_Mesic,1,2,2,2019-09-24,Lw,63578,8,,,Fair,,,
6_Mesic,1,3,2,2019-09-24,Lw,63578,9,,,Fair,,,
6_Mesic,1,4,2,2019-09-24,Lw,63578,10,,,Good,,,
6_Mesic,1,5,2,2019-09-24,Lw,63578,11,,,Fair,,,
6_Mesic,1,6,2,2019-09-24,Lw,63578,12,,,Fair,,,12
6_Mesic,1,1,3,2019-09-24,Lw,63578,13,,,Fair,,,
6_Mesic,1,2,3,2019-09-24,Lw,63578,14,,,Good,,,
6_Mesic,1,3,3,2019-09-24,Lw,63578,15,,,Fair,,,
6_Mesic,1,4,3,2019-09-24,Lw,63578,16,,,Good,,,
6_Mesic,1,5,3,2019-09-24,Lw,63578,17,,,Good,,,
6_Mesic,1,6,3,2019-09-24,Lw,63578,18,,,Fair,,,18
6_Mesic,1,1,4,2019-09-24,Lw,63578,19,,,Fair,,,
6_Mesic,1,2,4,2019-09-24,Lw,63578,20,,,Fair,,,
6_Mesic,1,3,4,2019-09-24,Lw,63578,21,,,Fair,,,
6_Mesic,1,4,4,2019-09-24,Lw,63578,22,,,Fair,,,
6_Mesic,1,5,4,2019-09-24,Lw,63578,23,,,Good,,,
6_Mesic,1,6,4,2019-09-24,Lw,63578,24,,,Good,,,24
6_Mesic,1,1,5,2019-09-24,Lw,63578,25,,,Fair,,,
6_Mesic,1,2,5,2019-09-24,Lw,63578,26,,,Fair,,,
6_Mesic,1,3,5,2019-09-24,Lw,63578,27,,,Good,,,
6_Mesic,1,4,5,2019-09-24,Lw,63578,28,,,Good,,,
6_Mesic,1,5,5,2019-09-24,Lw,63578,29,,,Good,,,
6_Mesic,1,6,5,2019-09-24,Lw,63578,30,,,Fair,,,30
6_Mesic,1,1,6,2019-09-24,Lw,63578,31,,,Good,,,
6_Mesic,1,2,6,2019-09-24,Lw,63578,32,,,Good,,,
6_Mesic,1,3,6,2019-09-24,Lw,63578,33,,,Good,,,
6_Mesic,1,4,6,2019-09-24,Lw,63578,34,,,Poor,,,
6_Mesic,1,5,6,2019-09-24,Lw,63578,35,,,Fair,,,
6_Mesic,1,6,6,2019-09-24,Lw,63578,36,,,Fair,,,36
6_Mesic,2,1,1,2019-09-24,Fd,48678,1,,,Fair,,,
6_Mesic,2,2,1,2019-09-24,Fd,48678,2,,,Good,,,
6_Mesic,2,3,1,2019-09-24,Fd,48678,3,,,Fair,,,
6_Mesic,2,4,1,2019-09-24,Fd,48678,4,,,Good,,,
6_Mesic,2,5,1,2019-09-24,Fd,48678,5,,,Fair,,,
6_Mesic,2,6,1,2019-09-24,Fd,48678,6,,,Good,,,
6_Mesic,2,1,2,2019-09-24,Fd,48678,7,,,Good,,,
6_Mesic,2,2,2,2019-09-24,Fd,48678,8,,,Fair,,,
6_Mesic,2,3,2,2019-09-24,Fd,48678,9,,,Good,,,
6_Mesic,2,4,2,2019-09-24,Fd,48678,10,,,Poor,,,
6_Mesic,2,5,2,2019-09-24,Fd,48678,11,,,Good,,,
6_Mesic,2,6,2,2019-09-24,Fd,48678,12,,,Good,,,
6_Mesic,2,1,3,2019-09-24,Fd,48678,13,,,Fair,,,
6_Mesic,2,2,3,2019-09-24,Fd,48678,14,,,Good,,,
6_Mesic,2,3,3,2019-09-24,Fd,48678,15,,,Good,,,
6_Mesic,2,4,3,2019-09-24,Fd,48678,16,,,Good,,,
6_Mesic,2,5,3,2019-09-24,Fd,48678,17,,,Fair,,,
6_Mesic,2,6,3,2019-09-24,Fd,48678,18,,,Good,,,
6_Mesic,2,1,4,2019-09-24,Fd,48678,19,,,Good,,,
6_Mesic,2,2,4,2019-09-24,Fd,48678,20,,,Good,,,
6_Mesic,2,3,4,2019-09-24,Fd,48678,21,,,Fair,,,
6_Mesic,2,4,4,2019-09-24,Fd,48678,22,,,Good,,,
6_Mesic,2,5,4,2019-09-24,Fd,48678,23,,,Good,,,
6_Mesic,2,6,4,2019-09-24,Fd,48678,24,,,Good,,,
6_Mesic,2,1,5,2019-09-24,Fd,48678,25,,,Fair,,,
6_Mesic,2,2,5,2019-09-24,Fd,48678,26,,,Good,,,
6_Mesic,2,3,5,2019-09-24,Fd,48678,27,,,Fair,,,
6_Mesic,2,4,5,2019-09-24,Fd,48678,28,,,Good,,,
6_Mesic,2,5,5,2019-09-24,Fd,48678,29,,,Fair,,,
6_Mesic,2,6,5,2019-09-24,Fd,48678,30,,,Good,,,
6_Mesic,2,1,6,2019-09-24,Fd,48678,31,,,Poor,,,
6_Mesic,2,2,6,2019-09-24,Fd,48678,32,,,Poor,,,
6_Mesic,2,3,6,2019-09-24,Fd,48678,33,,,Poor,,,
6_Mesic,2,4,6,2019-09-24,Fd,48678,34,,,Poor,,,
6_Mesic,2,5,6,2019-09-24,Fd,48678,35,,,Poor,,,
6_Mesic,2,6,6,2019-09-24,Fd,48678,36,,,Poor,,,poor almost moribund
6_Mesic,3,1,1,2019-09-24,Cw,40106,1,,,Fair,,,
6_Mesic,3,2,1,2019-09-24,Cw,40106,2,,,Fair,,,
6_Mesic,3,3,1,2019-09-24,Cw,40106,3,,,Fair,,,
6_Mesic,3,4,1,2019-09-24,Cw,40106,4,,,Good,,,
6_Mesic,3,5,1,2019-09-24,Cw,40106,5,,,Good,,,
6_Mesic,3,6,1,2019-09-24,Cw,40106,6,,,Good,,,
6_Mesic,3,1,2,2019-09-24,Cw,40106,7,,,,,,
6_Mesic,3,2,2,2019-09-24,Cw,40106,8,,,Good,,,
6_Mesic,3,3,2,2019-09-24,Cw,40106,9,,,Good,,,
6_Mesic,3,4,2,2019-09-24,Cw,40106,10,,,Poor,,,
6_Mesic,3,5,2,2019-09-24,Cw,40106,11,,,Fair,,,
6_Mesic,3,6,2,2019-09-24,Cw,40106,12,,,Good,,,
6_Mesic,3,1,3,2019-09-24,Cw,40106,13,,,Good,,,
6_Mesic,3,2,3,2019-09-24,Cw,40106,14,,,Good,,,
6_Mesic,3,3,3,2019-09-24,Cw,40106,15,,,Poor,,,
6_Mesic,3,4,3,2019-09-24,Cw,40106,16,,,Good,,,
6_Mesic,3,5,3,2019-09-24,Cw,40106,17,,,Good,,,
6_Mesic,3,6,3,2019-09-24,Cw,40106,18,,,Good,,,
6_Mesic,3,1,4,2019-09-24,Cw,40106,19,,,Good,,,
6_Mesic,3,2,4,2019-09-24,Cw,40106,20,,,Good,,,
6_Mesic,3,3,4,2019-09-24,Cw,40106,21,,,Good,,,
6_Mesic,3,4,4,2019-09-24,Cw,40106,22,,,Fair,,,
6_Mesic,3,5,4,2019-09-24,Cw,40106,23,,,Good,,,
6_Mesic,3,6,4,2019-09-24,Cw,40106,24,,,Good,,,
6_Mesic,3,1,5,2019-09-24,Cw,40106,25,,,Good,,,
6_Mesic,3,2,5,2019-09-24,Cw,40106,26,,,Poor,,,
6_Mesic,3,3,5,2019-09-24,Cw,40106,27,,,Good,,,
6_Mesic,3,4,5,2019-09-24,Cw,40106,28,,,Good,,,
6_Mesic,3,5,5,2019-09-24,Cw,40106,29,,,Good,,,
6_Mesic,3,6,5,2019-09-24,Cw,40106,30,,,Good,,,
6_Mesic,3,1,6,2019-09-24,Cw,40106,31,,,Good,,,
6_Mesic,3,2,6,2019-09-24,Cw,40106,32,,,Good,,,
6_Mesic,3,3,6,2019-09-24,Cw,40106,33,,,Fair,,,
6_Mesic,3,4,6,2019-09-24,Cw,40106,34,,,Good,,,
6_Mesic,3,5,6,2019-09-24,Cw,40106,35,,,Poor,,,
6_Mesic,3,6,6,2019-09-24,Cw,40106,36,,,Good,,,
6_Mesic,4,1,1,2019-09-24,Pl,32274,1,,,Good,,,
6_Mesic,4,2,1,2019-09-24,Pl,32274,2,,,Good,,,
6_Mesic,4,3,1,2019-09-24,Pl,32274,3,,,Good,,,
6_Mesic,4,4,1,2019-09-24,Pl,32274,4,,,Good,,,
6_Mesic,4,5,1,2019-09-24,Pl,32274,5,,,Poor,,,planting quality
6_Mesic,4,6,1,2019-09-24,Pl,32274,6,,,Good,,,6
6_Mesic,4,1,2,2019-09-24,Pl,32274,7,,,Good,,,
6_Mesic,4,2,2,2019-09-24,Pl,32274,8,,,Good,,,
6_Mesic,4,3,2,2019-09-24,Pl,32274,9,,,Good,,,
6_Mesic,4,4,2,2019-09-24,Pl,32274,10,,,Good,,,
6_Mesic,4,5,2,2019-09-24,Pl,32274,11,,,Good,,,
6_Mesic,4,6,2,2019-09-24,Pl,32274,12,,,Good,,,12
6_Mesic,4,1,3,2019-09-24,Pl,32274,13,,,Good,,,
6_Mesic,4,2,3,2019-09-24,Pl,32274,14,,,Good,,,
6_Mesic,4,3,3,2019-09-24,Pl,32274,15,,,Good,,,
6_Mesic,4,4,3,2019-09-24,Pl,32274,16,,,Good,,,
6_Mesic,4,5,3,2019-09-24,Pl,32274,17,,,Good,,,
6_Mesic,4,6,3,2019-09-24,Pl,32274,18,,,Fair,,,18
6_Mesic,4,1,4,2019-09-24,Pl,32274,19,,,Good,,,
6_Mesic,4,2,4,2019-09-24,Pl,32274,20,,,Good,,,
6_Mesic,4,3,4,2019-09-24,Pl,32274,21,,,Good,,,
6_Mesic,4,4,4,2019-09-24,Pl,32274,22,,,Good,,,
6_Mesic,4,5,4,2019-09-24,Pl,32274,23,,,Good,,,
6_Mesic,4,6,4,2019-09-24,Pl,32274,24,,,Good,,,24
6_Mesic,4,1,5,2019-09-24,Pl,32274,25,,,Fair,,,
6_Mesic,4,2,5,2019-09-24,Pl,32274,26,,,Good,,,
6_Mesic,4,3,5,2019-09-24,Pl,32274,27,,,Good,,,
6_Mesic,4,4,5,2019-09-24,Pl,32274,28,,,Poor,,,
6_Mesic,4,5,5,2019-09-24,Pl,32274,29,,,Good,,,
6_Mesic,4,6,5,2019-09-24,Pl,32274,30,,,Good,,,30
6_Mesic,4,1,6,2019-09-24,Pl,32274,31,,,Good,,,
6_Mesic,4,2,6,2019-09-24,Pl,32274,32,,,Fair,,,
6_Mesic,4,3,6,2019-09-24,Pl,32274,33,,,Good,,,
6_Mesic,4,4,6,2019-09-24,Pl,32274,34,,,Fair,,,
6_Mesic,4,5,6,2019-09-24,Pl,32274,35,,,Fair,,,
6_Mesic,4,6,6,2019-09-24,Pl,32274,36,,,Good,,,36
6_Mesic,5,1,1,2019-09-24,Fd,8492,1,,,Good,,,
6_Mesic,5,2,1,2019-09-24,Fd,8492,2,,,Good,,,
6_Mesic,5,3,1,2019-09-24,Fd,8492,3,,,Fair,,,
6_Mesic,5,4,1,2019-09-24,Fd,8492,4,,,Fair,,,
6_Mesic,5,5,1,2019-09-24,Fd,8492,5,,,Poor,,,
6_Mesic,5,6,1,2019-09-24,Fd,8492,6,,,Fair,,,
6_Mesic,5,1,2,2019-09-24,Fd,8492,7,,,Fair,,,
6_Mesic,5,2,2,2019-09-24,Fd,8492,8,,,Fair,,,
6_Mesic,5,3,2,2019-09-24,Fd,8492,9,,,Fair,,,
6_Mesic,5,4,2,2019-09-24,Fd,8492,10,,,Fair,,,
6_Mesic,5,5,2,2019-09-24,Fd,8492,11,,,Good,,,
6_Mesic,5,6,2,2019-09-24,Fd,8492,12,,,Fair,,,
6_Mesic,5,1,3,2019-09-24,Fd,8492,13,,,Fair,,,
6_Mesic,5,2,3,2019-09-24,Fd,8492,14,,,Good,,,
6_Mesic,5,3,3,2019-09-24,Fd,8492,15,,,Good,,,
6_Mesic,5,4,3,2019-09-24,Fd,8492,16,,,Fair,,,
6_Mesic,5,5,3,2019-09-24,Fd,8492,17,,,Poor,,,
6_Mesic,5,6,3,2019-09-24,Fd,8492,18,,,Fair,,,
6_Mesic,5,1,4,2019-09-24,Fd,8492,19,,,Fair,,,
6_Mesic,5,2,4,2019-09-24,Fd,8492,20,,,Poor,,,
6_Mesic,5,3,4,2019-09-24,Fd,8492,21,,,Fair,,,
6_Mesic,5,4,4,2019-09-24,Fd,8492,22,,,Good,,,
6_Mesic,5,5,4,2019-09-24,Fd,8492,23,,,Fair,,,
6_Mesic,5,6,4,2019-09-24,Fd,8492,24,,,Fair,,,
6_Mesic,5,1,5,2019-09-24,Fd,8492,25,,,Poor,,,
6_Mesic,5,2,5,2019-09-24,Fd,8492,26,,,Fair,,,
6_Mesic,5,3,5,2019-09-24,Fd,8492,27,,,Fair,,,
6_Mesic,5,4,5,2019-09-24,Fd,8492,28,,,Fair,,,
6_Mesic,5,5,5,2019-09-24,Fd,8492,29,,,Fair,,,
6_Mesic,5,6,5,2019-09-24,Fd,8492,30,,,Poor,,,
6_Mesic,5,1,6,2019-09-24,Fd,8492,31,,,Good,,,
6_Mesic,5,2,6,2019-09-24,Fd,8492,32,,,Fair,,,
6_Mesic,5,3,6,2019-09-24,Fd,8492,33,,,Fair,,,
6_Mesic,5,4,6,2019-09-24,Fd,8492,34,,,Fair,,,
6_Mesic,5,5,6,2019-09-24,Fd,8492,35,,,Fair,,,
6_Mesic,5,6,6,2019-09-24,Fd,8492,36,,,Poor,,,
6_Mesic,6,1,1,2019-09-24,Fd,63540,1,,,Good,,,
6_Mesic,6,2,1,2019-09-24,Fd,63540,2,,,Good,,,
6_Mesic,6,3,1,2019-09-24,Fd,63540,3,,,Good,,,
6_Mesic,6,4,1,2019-09-24,Fd,63540,4,,,Good,,,
6_Mesic,6,5,1,2019-09-24,Fd,63540,5,,,Fair,,,
6_Mesic,6,6,1,2019-09-24,Fd,63540,6,,,Good,,,
6_Mesic,6,1,2,2019-09-24,Fd,63540,7,,,Good,,,
6_Mesic,6,2,2,2019-09-24,Fd,63540,8,,,Good,,,
6_Mesic,6,3,2,2019-09-24,Fd,63540,9,,,Good,,,
6_Mesic,6,4,2,2019-09-24,Fd,63540,10,,,Good,,,
6_Mesic,6,5,2,2019-09-24,Fd,63540,11,,,Good,,,
6_Mesic,6,6,2,2019-09-24,Fd,63540,12,,,Good,,,
6_Mesic,6,1,3,2019-09-24,Fd,63540,13,,,Good,,,
6_Mesic,6,2,3,2019-09-24,Fd,63540,14,,,Good,,,
6_Mesic,6,3,3,2019-09-24,Fd,63540,15,,,Good,,,
6_Mesic,6,4,3,2019-09-24,Fd,63540,16,,,Good,,,
6_Mesic,6,5,3,2019-09-24,Fd,63540,17,,,Fair,,,
6_Mesic,6,6,3,2019-09-24,Fd,63540,18,,,Good,,,
6_Mesic,6,1,4,2019-09-24,Fd,63540,19,,,Good,,,
6_Mesic,6,2,4,2019-09-24,Fd,63540,20,,,Good,,,
6_Mesic,6,3,4,2019-09-24,Fd,63540,21,,,Good,,,
6_Mesic,6,4,4,2019-09-24,Fd,63540,22,,,Good,,,
6_Mesic,6,5,4,2019-09-24,Fd,63540,23,,,Fair,,,
6_Mesic,6,6,4,2019-09-24,Fd,63540,24,,,Good,,,
6_Mesic,6,1,5,2019-09-24,Fd,63540,25,,,Good,,,
6_Mesic,6,2,5,2019-09-24,Fd,63540,26,,,Good,,,
6_Mesic,6,3,5,2019-09-24,Fd,63540,27,,,Fair,,,
6_Mesic,6,4,5,2019-09-24,Fd,63540,28,,,Good,,,
6_Mesic,6,5,5,2019-09-24,Fd,63540,29,,,Good,,,
6_Mesic,6,6,5,2019-09-24,Fd,63540,30,,,Good,,,
6_Mesic,6,1,6,2019-09-24,Fd,63540,31,,,Good,,,
