FID,Plot,Orientation,Lat,Lon,Spacing,Height,Width
15_Mesic,1,35.25,54.17696865,-125.9187273,2,6,6
15_Mesic,2,35.25,54.17690778,-125.9185711,2,6,6
15_Mesic,3,35.25,54.17684504,-125.9184197,2,6,6
15_Mesic,4,35.25,54.17687989,-125.9188323,2,6,6
15_Mesic,5,35.25,54.17681381,-125.9186747,2,6,6
15_Mesic,6,35.25,54.17675034,-125.9185292,2,6,6
15_Mesic,7,35.25,54.17678875,-125.9189391,2,6,6
15_Mesic,8,35.25,54.17672432,-125.9187856,2,6,6
15_Mesic,9,35.25,54.17666397,-125.9186314,2,6,6
15_Mesic,10,35.25,54.17669647,-125.9190448,2,6,6
15_Mesic,11,35.25,54.17663562,-125.9188876,2,6,6
15_Mesic,12,35.25,54.17657288,-125.9187362,2,6,6
15_Mesic,13,35.25,54.17661018,-125.919144,2,6,6
15_Mesic,14,35.25,54.17654807,-125.9189906,2,6,6
15_Mesic,15,35.25,54.1764871,-125.9188384,2,6,6
