FID,Plot,Orientation,Lat,Lon,Spacing,Height,Width
2_Wet,1,47.49,54.90980635,-126.3385244,2,6,6
2_Wet,2,47.49,54.90972714,-126.3383948,2,6,6
2_Wet,3,47.49,54.90964717,-126.3382714,2,6,6
2_Wet,4,47.49,54.90973346,-126.338663,2,6,6
2_Wet,5,47.49,54.90965419,-126.3385356,2,6,6
2_Wet,6,47.49,54.90957023,-126.3384056,2,6,6
2_Wet,7,47.49,54.90965689,-126.3388055,2,6,6
2_Wet,8,47.49,54.90957635,-126.338681,2,6,6
2_Wet,9,47.49,54.90949709,-126.3385535,2,6,6
2_Wet,10,47.49,54.90958055,-126.3389398,2,6,6
2_Wet,11,47.49,54.90950355,-126.3388166,2,6,6
2_Wet,12,47.49,54.90942117,-126.338694,2,6,6
2_Wet,13,47.49,54.90950828,-126.3390774,2,6,6
2_Wet,14,47.49,54.90942894,-126.338953,2,6,6
2_Wet,15,47.49,54.90934831,-126.3388316,2,6,6
