FID,Plot,Row,Column,Date,Species,Seedlot,TreeID,Height,Diameter,Condition ,Dmg.Agent,Dmg.Severity,Comment
11_Frost,1,1,1,2019-09-24,Sx,39619,1,,,Good,,,starting  N end of line
11_Frost,1,2,1,2019-09-24,Sx,39619,2,,,Good,,,
11_Frost,1,3,1,2019-09-24,Sx,39619,3,,,Good,,,
11_Frost,1,4,1,2019-09-24,Sx,39619,4,,,Fair,,,
11_Frost,1,5,1,2019-09-24,Sx,39619,5,,,Fair,,,
11_Frost,1,6,1,2019-09-24,Sx,39619,6,,,Good,,,
11_Frost,1,7,1,2019-09-24,Sx,39619,7,,,Good,,,
11_Frost,1,8,1,2019-09-24,Sx,39619,8,,,Good,,,
11_Frost,1,9,1,2019-09-24,Sx,39619,9,,,Good,,,
11_Frost,1,10,1,2019-09-24,Sx,39619,10,,,Good,,,
11_Frost,1,11,1,2019-09-24,Sx,39619,11,,,Good,,,
11_Frost,1,12,1,2019-09-24,Sx,39619,12,,,Good,,,
11_Frost,1,13,1,2019-09-24,Sx,39619,13,,,Good,,,
11_Frost,1,14,1,2019-09-24,Sx,39619,14,,,Good,,,
11_Frost,1,15,1,2019-09-24,Sx,39619,15,,,Fair,,,
11_Frost,1,16,1,2019-09-24,Sx,39619,16,,,Good,,,
11_Frost,1,17,1,2019-09-24,Sx,39619,17,,,Good,,,
11_Frost,1,18,1,2019-09-24,Sx,39619,18,,,Good,,,
11_Frost,1,19,1,2019-09-24,Sx,39619,19,,,Good,,,
11_Frost,1,20,1,2019-09-24,Sx,39619,20,,,Good,,,
11_Frost,1,21,1,2019-09-24,Sx,39619,21,,,Good,,,
11_Frost,1,22,1,2019-09-24,Sx,39619,22,,,Fair,,,
11_Frost,1,23,1,2019-09-24,Sx,39619,23,,,Fair,,,
11_Frost,1,24,1,2019-09-24,Sx,39619,24,,,Fair,,,
11_Frost,1,25,1,2019-09-24,Sx,39619,25,,,Good,,,
11_Frost,1,26,1,2019-09-24,Sx,39619,26,,,Good,,,
11_Frost,1,27,1,2019-09-24,Sx,39619,27,,,Good,,,
11_Frost,1,28,1,2019-09-24,Sx,39619,28,,,Good,,,
11_Frost,1,29,1,2019-09-24,Sx,39619,29,,,Good,,,
11_Frost,1,30,1,2019-09-24,Sx,39619,30,,,Good,,,
11_Frost,1,31,1,2019-09-24,Sx,39619,31,,,Good,,,
11_Frost,1,32,1,2019-09-24,Sx,39619,32,,,Fair,,,
11_Frost,1,33,1,2019-09-24,Sx,39619,33,,,Good,,,
11_Frost,1,34,1,2019-09-24,Sx,39619,34,,,Good,,,
11_Frost,1,35,1,2019-09-24,Sx,39619,35,,,Good,,,
11_Frost,1,36,1,2019-09-24,Sx,39619,36,,,Good,,,
11_Frost,1,37,1,2019-09-24,Sx,39619,37,,,Good,,,
11_Frost,1,38,1,2019-09-24,Sx,39619,38,,,Good,,,
11_Frost,1,39,1,2019-09-24,Sx,39619,39,,,Good,,,
11_Frost,1,40,1,2019-09-24,Sx,39619,40,,,Good,,,
11_Frost,1,41,1,2019-09-24,Sx,39619,41,,,Good,,,
11_Frost,1,42,1,2019-09-24,Sx,39619,42,,,Good,,,
11_Frost,1,43,1,2019-09-24,Sx,39619,43,,,Good,,,
