FID,Tree,Plot,Species,Seedlot,Condition ,Comment
2_Wet,1,1,Sx,39619,Good,
2_Wet,2,1,Sx,39619,Good,
2_Wet,3,1,Sx,39619,Fair,
2_Wet,4,1,Sx,39619,Good,
2_Wet,5,1,Sx,39619,Good,
2_Wet,6,1,Sx,39619,Good,
2_Wet,7,1,Sx,39619,Good,
2_Wet,8,1,Sx,39619,Good,
2_Wet,9,1,Sx,39619,Good,
2_Wet,10,1,Sx,39619,Good,
2_Wet,11,1,Sx,39619,Good,
2_Wet,12,1,Sx,39619,Fair,
2_Wet,13,1,Sx,39619,Good,
2_Wet,14,1,Sx,39619,Good,
2_Wet,15,1,Sx,39619,Good,
2_Wet,16,1,Sx,39619,Fair,
2_Wet,17,1,Sx,39619,Good,
2_Wet,18,1,Sx,39619,Good,
2_Wet,19,1,Sx,39619,Good,
2_Wet,20,1,Sx,39619,Good,
2_Wet,21,1,Sx,39619,Good,
2_Wet,22,1,Sx,39619,Good,
2_Wet,23,1,Sx,39619,Good,
2_Wet,24,1,Sx,39619,Good,
2_Wet,25,1,Sx,39619,Good,
2_Wet,26,1,Sx,39619,Good,
2_Wet,27,1,Sx,39619,Good,
2_Wet,28,1,Sx,39619,Good,
2_Wet,29,1,Sx,39619,Good,
2_Wet,30,1,Sx,39619,Good,
2_Wet,31,1,Sx,39619,Good,
2_Wet,32,1,Sx,39619,Good,
2_Wet,33,1,Sx,39619,Good,
2_Wet,34,1,Sx,39619,Good,
2_Wet,35,1,Sx,39619,Good,
2_Wet,36,1,Sx,39619,Good,
2_Wet,1,2,Pl,13903,Good,
2_Wet,2,2,Pl,13903,Good,
2_Wet,3,2,Pl,13903,Fair,
2_Wet,4,2,Pl,13903,Good,
2_Wet,5,2,Pl,13903,Fair,
2_Wet,6,2,Pl,13903,Poor,
2_Wet,7,2,Pl,13903,Poor,
2_Wet,8,2,Pl,13903,Poor,
2_Wet,9,2,Pl,13903,Good,
2_Wet,10,2,Pl,13903,Fair,
2_Wet,11,2,Pl,13903,Good,
2_Wet,12,2,Pl,13903,Fair,
2_Wet,13,2,Pl,13903,Good,
2_Wet,14,2,Pl,13903,Fair,
2_Wet,15,2,Pl,13903,Good,
2_Wet,16,2,Pl,13903,Poor,
2_Wet,17,2,Pl,13903,Fair,
2_Wet,18,2,Pl,13903,Fair,
2_Wet,19,2,Pl,13903,Fair,
2_Wet,20,2,Pl,13903,Poor,
2_Wet,21,2,Pl,13903,Good,
2_Wet,22,2,Pl,13903,Poor,
2_Wet,23,2,Pl,13903,Good,
2_Wet,24,2,Pl,13903,Fair,
2_Wet,25,2,Pl,13903,Good,
2_Wet,26,2,Pl,13903,Good,
2_Wet,27,2,Pl,13903,Fair,
2_Wet,28,2,Pl,13903,Poor,
2_Wet,29,2,Pl,13903,Poor,
2_Wet,30,2,Pl,13903,Poor,
2_Wet,31,2,Pl,13903,Fair,
2_Wet,32,2,Pl,13903,Poor,
2_Wet,33,2,Pl,13903,Poor,
2_Wet,34,2,Pl,13903,Poor,
2_Wet,35,2,Pl,13903,Good,
2_Wet,36,2,Pl,13903,Good,
2_Wet,1,3,Fd,48678,Fair,
2_Wet,2,3,Fd,48678,Good,
2_Wet,3,3,Fd,48678,Good,
2_Wet,4,3,Fd,48678,Fair,
2_Wet,5,3,Fd,48678,Fair,
2_Wet,6,3,Fd,48678,Good,
2_Wet,7,3,Fd,48678,Fair,
2_Wet,8,3,Fd,48678,Fair,
2_Wet,9,3,Fd,48678,Fair,
2_Wet,10,3,Fd,48678,Fair,
2_Wet,11,3,Fd,48678,Poor,
2_Wet,12,3,Fd,48678,Fair,
2_Wet,13,3,Fd,48678,Fair,
2_Wet,14,3,Fd,48678,Poor,middle of plot boggy
2_Wet,15,3,Fd,48678,Good,
2_Wet,16,3,Fd,48678,Good,
2_Wet,17,3,Fd,48678,Good,
2_Wet,18,3,Fd,48678,Fair,
2_Wet,19,3,Fd,48678,Fair,
2_Wet,20,3,Fd,48678,Fair,
2_Wet,21,3,Fd,48678,Good,
2_Wet,22,3,Fd,48678,Good,
2_Wet,23,3,Fd,48678,Poor,
2_Wet,24,3,Fd,48678,Poor,
2_Wet,25,3,Fd,48678,Poor,
2_Wet,26,3,Fd,48678,Good,
2_Wet,27,3,Fd,48678,Good,
2_Wet,28,3,Fd,48678,Good,
2_Wet,29,3,Fd,48678,Fair,
2_Wet,30,3,Fd,48678,Poor,
2_Wet,31,3,Fd,48678,Poor,
2_Wet,32,3,Fd,48678,Fair,
2_Wet,33,3,Fd,48678,Good,
2_Wet,34,3,Fd,48678,Good,
2_Wet,35,3,Fd,48678,Poor,
2_Wet,36,3,Fd,48678,Good,
2_Wet,1,4,Cw,48519,Good,
2_Wet,2,4,Cw,48519,Good,
2_Wet,3,4,Cw,48519,Good,
2_Wet,4,4,Cw,48519,Good,
2_Wet,5,4,Cw,48519,Fair,
2_Wet,6,4,Cw,48519,Fair,
2_Wet,7,4,Cw,48519,Fair,
