FID,Tree,Plot,Species,Seedlot,Condition ,Comment
6_Mesic,1,1,Lw,63578,Fair,
6_Mesic,2,1,Lw,63578,Fair,
6_Mesic,3,1,Lw,63578,Fair,
6_Mesic,4,1,Lw,63578,Fair,
6_Mesic,5,1,Lw,63578,Fair,
6_Mesic,6,1,Lw,63578,Fair,6
6_Mesic,7,1,Lw,63578,Fair,
6_Mesic,8,1,Lw,63578,Fair,
6_Mesic,9,1,Lw,63578,Fair,
6_Mesic,10,1,Lw,63578,Good,
6_Mesic,11,1,Lw,63578,Fair,
6_Mesic,12,1,Lw,63578,Fair,12
6_Mesic,13,1,Lw,63578,Fair,
6_Mesic,14,1,Lw,63578,Good,
6_Mesic,15,1,Lw,63578,Fair,
6_Mesic,16,1,Lw,63578,Good,
6_Mesic,17,1,Lw,63578,Good,
6_Mesic,18,1,Lw,63578,Fair,18
6_Mesic,19,1,Lw,63578,Fair,
6_Mesic,20,1,Lw,63578,Fair,
6_Mesic,21,1,Lw,63578,Fair,
6_Mesic,22,1,Lw,63578,Fair,
6_Mesic,23,1,Lw,63578,Good,
6_Mesic,24,1,Lw,63578,Good,24
6_Mesic,25,1,Lw,63578,Fair,
6_Mesic,26,1,Lw,63578,Fair,
6_Mesic,27,1,Lw,63578,Good,
6_Mesic,28,1,Lw,63578,Good,
6_Mesic,29,1,Lw,63578,Good,
6_Mesic,30,1,Lw,63578,Fair,30
6_Mesic,31,1,Lw,63578,Good,
6_Mesic,32,1,Lw,63578,Good,
6_Mesic,33,1,Lw,63578,Good,
6_Mesic,34,1,Lw,63578,Poor,
6_Mesic,35,1,Lw,63578,Fair,
6_Mesic,36,1,Lw,63578,Fair,36
6_Mesic,1,2,Fd,48678,Fair,
6_Mesic,2,2,Fd,48678,Good,
6_Mesic,3,2,Fd,48678,Fair,
6_Mesic,4,2,Fd,48678,Good,
6_Mesic,5,2,Fd,48678,Fair,
6_Mesic,6,2,Fd,48678,Good,
6_Mesic,7,2,Fd,48678,Good,
6_Mesic,8,2,Fd,48678,Fair,
6_Mesic,9,2,Fd,48678,Good,
6_Mesic,10,2,Fd,48678,Poor,
6_Mesic,11,2,Fd,48678,Good,
6_Mesic,12,2,Fd,48678,Good,
6_Mesic,13,2,Fd,48678,Fair,
6_Mesic,14,2,Fd,48678,Good,
6_Mesic,15,2,Fd,48678,Good,
6_Mesic,16,2,Fd,48678,Good,
6_Mesic,17,2,Fd,48678,Fair,
6_Mesic,18,2,Fd,48678,Good,
6_Mesic,19,2,Fd,48678,Good,
6_Mesic,20,2,Fd,48678,Good,
6_Mesic,21,2,Fd,48678,Fair,
6_Mesic,22,2,Fd,48678,Good,
6_Mesic,23,2,Fd,48678,Good,
6_Mesic,24,2,Fd,48678,Good,
6_Mesic,25,2,Fd,48678,Fair,
6_Mesic,26,2,Fd,48678,Good,
6_Mesic,27,2,Fd,48678,Fair,
6_Mesic,28,2,Fd,48678,Good,
6_Mesic,29,2,Fd,48678,Fair,
6_Mesic,30,2,Fd,48678,Good,
6_Mesic,31,2,Fd,48678,Poor,
6_Mesic,32,2,Fd,48678,Poor,
6_Mesic,33,2,Fd,48678,Poor,
6_Mesic,34,2,Fd,48678,Poor,
6_Mesic,35,2,Fd,48678,Poor,
6_Mesic,36,2,Fd,48678,Poor,poor almost moribund
6_Mesic,1,3,Cw,40106,Fair,
6_Mesic,2,3,Cw,40106,Fair,
6_Mesic,3,3,Cw,40106,Fair,
6_Mesic,4,3,Cw,40106,Good,
6_Mesic,5,3,Cw,40106,Good,
6_Mesic,6,3,Cw,40106,Good,
6_Mesic,7,3,Cw,40106,,
6_Mesic,8,3,Cw,40106,Good,
6_Mesic,9,3,Cw,40106,Good,
6_Mesic,10,3,Cw,40106,Poor,
6_Mesic,11,3,Cw,40106,Fair,
6_Mesic,12,3,Cw,40106,Good,
6_Mesic,13,3,Cw,40106,Good,
6_Mesic,14,3,Cw,40106,Good,
6_Mesic,15,3,Cw,40106,Poor,
6_Mesic,16,3,Cw,40106,Good,
6_Mesic,17,3,Cw,40106,Good,
6_Mesic,18,3,Cw,40106,Good,
6_Mesic,19,3,Cw,40106,Good,
6_Mesic,20,3,Cw,40106,Good,
6_Mesic,21,3,Cw,40106,Good,
6_Mesic,22,3,Cw,40106,Fair,
6_Mesic,23,3,Cw,40106,Good,
6_Mesic,24,3,Cw,40106,Good,
6_Mesic,25,3,Cw,40106,Good,
6_Mesic,26,3,Cw,40106,Poor,
6_Mesic,27,3,Cw,40106,Good,
6_Mesic,28,3,Cw,40106,Good,
6_Mesic,29,3,Cw,40106,Good,
6_Mesic,30,3,Cw,40106,Good,
6_Mesic,31,3,Cw,40106,Good,
6_Mesic,32,3,Cw,40106,Good,
6_Mesic,33,3,Cw,40106,Fair,
6_Mesic,34,3,Cw,40106,Good,
6_Mesic,35,3,Cw,40106,Poor,
6_Mesic,36,3,Cw,40106,Good,
6_Mesic,1,4,Pl,32274,Good,
6_Mesic,2,4,Pl,32274,Good,
6_Mesic,3,4,Pl,32274,Good,
6_Mesic,4,4,Pl,32274,Good,
6_Mesic,5,4,Pl,32274,Poor,planting quality
6_Mesic,6,4,Pl,32274,Good,6
6_Mesic,7,4,Pl,32274,Good,
6_Mesic,8,4,Pl,32274,Good,
6_Mesic,9,4,Pl,32274,Good,
6_Mesic,10,4,Pl,32274,Good,
6_Mesic,11,4,Pl,32274,Good,
6_Mesic,12,4,Pl,32274,Good,12
6_Mesic,13,4,Pl,32274,Good,
6_Mesic,14,4,Pl,32274,Good,
6_Mesic,15,4,Pl,32274,Good,
6_Mesic,16,4,Pl,32274,Good,
6_Mesic,17,4,Pl,32274,Good,
6_Mesic,18,4,Pl,32274,Fair,18
6_Mesic,19,4,Pl,32274,Good,
6_Mesic,20,4,Pl,32274,Good,
6_Mesic,21,4,Pl,32274,Good,
6_Mesic,22,4,Pl,32274,Good,
6_Mesic,23,4,Pl,32274,Good,
6_Mesic,24,4,Pl,32274,Good,24
6_Mesic,25,4,Pl,32274,Fair,
6_Mesic,26,4,Pl,32274,Good,
6_Mesic,27,4,Pl,32274,Good,
6_Mesic,28,4,Pl,32274,Poor,
6_Mesic,29,4,Pl,32274,Good,
6_Mesic,30,4,Pl,32274,Good,30
6_Mesic,31,4,Pl,32274,Good,
6_Mesic,32,4,Pl,32274,Fair,
6_Mesic,33,4,Pl,32274,Good,
6_Mesic,34,4,Pl,32274,Fair,
6_Mesic,35,4,Pl,32274,Fair,
6_Mesic,36,4,Pl,32274,Good,36
6_Mesic,1,5,Fd,8492,Good,
6_Mesic,2,5,Fd,8492,Good,
6_Mesic,3,5,Fd,8492,Fair,
6_Mesic,4,5,Fd,8492,Fair,
6_Mesic,5,5,Fd,8492,Poor,
6_Mesic,6,5,Fd,8492,Fair,
6_Mesic,7,5,Fd,8492,Fair,
6_Mesic,8,5,Fd,8492,Fair,
6_Mesic,9,5,Fd,8492,Fair,
6_Mesic,10,5,Fd,8492,Fair,
6_Mesic,11,5,Fd,8492,Good,
6_Mesic,12,5,Fd,8492,Fair,
6_Mesic,13,5,Fd,8492,Fair,
6_Mesic,14,5,Fd,8492,Good,
6_Mesic,15,5,Fd,8492,Good,
6_Mesic,16,5,Fd,8492,Fair,
6_Mesic,17,5,Fd,8492,Poor,
6_Mesic,18,5,Fd,8492,Fair,
6_Mesic,19,5,Fd,8492,Fair,
6_Mesic,20,5,Fd,8492,Poor,
6_Mesic,21,5,Fd,8492,Fair,
6_Mesic,22,5,Fd,8492,Good,
6_Mesic,23,5,Fd,8492,Fair,
6_Mesic,24,5,Fd,8492,Fair,
6_Mesic,25,5,Fd,8492,Poor,
6_Mesic,26,5,Fd,8492,Fair,
6_Mesic,27,5,Fd,8492,Fair,
6_Mesic,28,5,Fd,8492,Fair,
6_Mesic,29,5,Fd,8492,Fair,
6_Mesic,30,5,Fd,8492,Poor,
6_Mesic,31,5,Fd,8492,Good,
6_Mesic,32,5,Fd,8492,Fair,
6_Mesic,33,5,Fd,8492,Fair,
6_Mesic,34,5,Fd,8492,Fair,
6_Mesic,35,5,Fd,8492,Fair,
6_Mesic,36,5,Fd,8492,Poor,
6_Mesic,1,6,Fd,63540,Good,
6_Mesic,2,6,Fd,63540,Good,
6_Mesic,3,6,Fd,63540,Good,
6_Mesic,4,6,Fd,63540,Good,
6_Mesic,5,6,Fd,63540,Fair,
6_Mesic,6,6,Fd,63540,Good,
6_Mesic,7,6,Fd,63540,Good,
6_Mesic,8,6,Fd,63540,Good,
6_Mesic,9,6,Fd,63540,Good,
6_Mesic,10,6,Fd,63540,Good,
6_Mesic,11,6,Fd,63540,Good,
6_Mesic,12,6,Fd,63540,Good,
6_Mesic,13,6,Fd,63540,Good,
6_Mesic,14,6,Fd,63540,Good,
6_Mesic,15,6,Fd,63540,Good,
6_Mesic,16,6,Fd,63540,Good,
6_Mesic,17,6,Fd,63540,Fair,
6_Mesic,18,6,Fd,63540,Good,
6_Mesic,19,6,Fd,63540,Good,
6_Mesic,20,6,Fd,63540,Good,
6_Mesic,21,6,Fd,63540,Good,
6_Mesic,22,6,Fd,63540,Good,
6_Mesic,23,6,Fd,63540,Fair,
6_Mesic,24,6,Fd,63540,Good,
6_Mesic,25,6,Fd,63540,Good,
6_Mesic,26,6,Fd,63540,Good,
6_Mesic,27,6,Fd,63540,Fair,
6_Mesic,28,6,Fd,63540,Good,
6_Mesic,29,6,Fd,63540,Good,
6_Mesic,30,6,Fd,63540,Good,
6_Mesic,31,6,Fd,63540,Good,
6_Mesic,32,6,Fd,63540,Good,
6_Mesic,33,6,Fd,63540,Good,
6_Mesic,34,6,Fd,63540,Fair,
6_Mesic,35,6,Fd,63540,Fair,
6_Mesic,36,6,Fd,63540,Good,
6_Mesic,1,7,Cw,53977,Fair,
6_Mesic,2,7,Cw,53977,Fair,
6_Mesic,3,7,Cw,53977,Fair,
6_Mesic,4,7,Cw,53977,Poor,
6_Mesic,5,7,Cw,53977,Fair,
6_Mesic,6,7,Cw,53977,Fair,6
6_Mesic,7,7,Cw,53977,Fair,
6_Mesic,8,7,Cw,53977,Good,
6_Mesic,9,7,Cw,53977,Fair,
6_Mesic,10,7,Cw,53977,Fair,
6_Mesic,11,7,Cw,53977,Fair,
6_Mesic,12,7,Cw,53977,Fair,12
6_Mesic,13,7,Cw,53977,Fair,browse
6_Mesic,14,7,Cw,53977,Fair,
6_Mesic,15,7,Cw,53977,Fair,
6_Mesic,16,7,Cw,53977,Fair,
6_Mesic,17,7,Cw,53977,Fair,
6_Mesic,18,7,Cw,53977,Good,18
6_Mesic,19,7,Cw,53977,Fair,
6_Mesic,20,7,Cw,53977,Good,
6_Mesic,21,7,Cw,53977,Fair,
6_Mesic,22,7,Cw,53977,Good,
6_Mesic,23,7,Cw,53977,Fair,
6_Mesic,24,7,Cw,53977,Fair,24
6_Mesic,25,7,Cw,53977,Fair,
6_Mesic,26,7,Cw,53977,Fair,
6_Mesic,27,7,Cw,53977,Good,
6_Mesic,28,7,Cw,53977,Fair,
6_Mesic,29,7,Cw,53977,Fair,
6_Mesic,30,7,Cw,53977,Fair,30
6_Mesic,31,7,Cw,53977,Fair,
6_Mesic,32,7,Cw,53977,Fair,
6_Mesic,33,7,Cw,53977,Fair,
6_Mesic,34,7,Cw,53977,Fair,
6_Mesic,35,7,Cw,53977,Poor,
6_Mesic,36,7,Cw,53977,Fair,36
6_Mesic,1,8,Sx,63594,Fair,
6_Mesic,2,8,Sx,63594,Poor,
6_Mesic,3,8,Sx,63594,Fair,
6_Mesic,4,8,Sx,63594,Fair,
6_Mesic,5,8,Sx,63594,Poor,
6_Mesic,6,8,Sx,63594,Fair,
6_Mesic,7,8,Sx,63594,Poor,
6_Mesic,8,8,Sx,63594,Poor,
6_Mesic,9,8,Sx,63594,Fair,
6_Mesic,10,8,Sx,63594,Poor,
6_Mesic,11,8,Sx,63594,Fair,
6_Mesic,12,8,Sx,63594,Fair,
6_Mesic,13,8,Sx,63594,Fair,
6_Mesic,14,8,Sx,63594,Fair,
6_Mesic,15,8,Sx,63594,Fair,
6_Mesic,16,8,Sx,63594,Poor,
6_Mesic,17,8,Sx,63594,Fair,
6_Mesic,18,8,Sx,63594,Poor,
6_Mesic,19,8,Sx,63594,Fair,
6_Mesic,20,8,Sx,63594,Fair,
6_Mesic,21,8,Sx,63594,Poor,
6_Mesic,22,8,Sx,63594,Fair,
6_Mesic,23,8,Sx,63594,Good,
6_Mesic,24,8,Sx,63594,Fair,
6_Mesic,25,8,Sx,63594,Fair,
6_Mesic,26,8,Sx,63594,Fair,
6_Mesic,27,8,Sx,63594,Fair,
6_Mesic,28,8,Sx,63594,Poor,
6_Mesic,29,8,Sx,63594,Fair,
6_Mesic,30,8,Sx,63594,Fair,
6_Mesic,31,8,Sx,63594,Fair,
6_Mesic,32,8,Sx,63594,Poor,
6_Mesic,33,8,Sx,63594,Poor,
6_Mesic,34,8,Sx,63594,Fair,
6_Mesic,35,8,Sx,63594,Fair,
6_Mesic,36,8,Sx,63594,Fair,
6_Mesic,1,9,Sx,8492,Good,
6_Mesic,2,9,Sx,8492,Good,
6_Mesic,3,9,Sx,8492,Good,
6_Mesic,4,9,Sx,8492,Good,
6_Mesic,5,9,Sx,8492,Good,
6_Mesic,6,9,Sx,8492,Good,
6_Mesic,7,9,Sx,8492,Good,
6_Mesic,8,9,Sx,8492,Good,
6_Mesic,9,9,Sx,8492,Good,
6_Mesic,10,9,Sx,8492,Good,
6_Mesic,11,9,Sx,8492,Good,
6_Mesic,12,9,Sx,8492,Good,
6_Mesic,13,9,Sx,8492,Good,
6_Mesic,14,9,Sx,8492,Good,
6_Mesic,15,9,Sx,8492,Good,
6_Mesic,16,9,Sx,8492,Good,
6_Mesic,17,9,Sx,8492,Good,
6_Mesic,18,9,Sx,8492,Good,
6_Mesic,19,9,Sx,8492,Fair,
6_Mesic,20,9,Sx,8492,Good,
6_Mesic,21,9,Sx,8492,Good,
6_Mesic,22,9,Sx,8492,Good,
6_Mesic,23,9,Sx,8492,Good,
6_Mesic,24,9,Sx,8492,Good,
6_Mesic,25,9,Sx,8492,Good,
6_Mesic,26,9,Sx,8492,Good,
6_Mesic,27,9,Sx,8492,Good,
6_Mesic,28,9,Sx,8492,Good,
6_Mesic,29,9,Sx,8492,Good,
6_Mesic,30,9,Sx,8492,Good,
6_Mesic,31,9,Sx,8492,Good,
6_Mesic,32,9,Sx,8492,Good,
6_Mesic,33,9,Sx,8492,Good,
6_Mesic,34,9,Sx,8492,Good,
6_Mesic,35,9,Sx,8492,Good,
6_Mesic,36,9,Sx,8492,Good,
6_Mesic,1,10,Lw,35192,Good,
6_Mesic,2,10,Lw,35192,Fair,
6_Mesic,3,10,Lw,35192,Fair,
6_Mesic,4,10,Lw,35192,Good,
6_Mesic,5,10,Lw,35192,Good,
6_Mesic,6,10,Lw,35192,Fair,6
6_Mesic,7,10,Lw,35192,Good,
6_Mesic,8,10,Lw,35192,Good,
6_Mesic,9,10,Lw,35192,Good,
6_Mesic,10,10,Lw,35192,Fair,
6_Mesic,11,10,Lw,35192,Good,
6_Mesic,12,10,Lw,35192,Good,12
6_Mesic,13,10,Lw,35192,Good,
6_Mesic,14,10,Lw,35192,Good,
6_Mesic,15,10,Lw,35192,Poor,
6_Mesic,16,10,Lw,35192,Fair,
6_Mesic,17,10,Lw,35192,Good,
6_Mesic,18,10,Lw,35192,Fair,18
6_Mesic,19,10,Lw,35192,Fair,
6_Mesic,20,10,Lw,35192,Fair,
6_Mesic,21,10,Lw,35192,Good,
6_Mesic,22,10,Lw,35192,Poor,
6_Mesic,23,10,Lw,35192,Fair,
6_Mesic,24,10,Lw,35192,Fair,24
6_Mesic,25,10,Lw,35192,Fair,
6_Mesic,26,10,Lw,35192,Poor,
6_Mesic,27,10,Lw,35192,Fair,
6_Mesic,28,10,Lw,35192,Fair,
6_Mesic,29,10,Lw,35192,Fair,
6_Mesic,30,10,Lw,35192,Poor,30
6_Mesic,31,10,Lw,35192,Poor,
6_Mesic,32,10,Lw,35192,Fair,
6_Mesic,33,10,Lw,35192,Fair,
6_Mesic,34,10,Lw,35192,Good,
6_Mesic,35,10,Lw,35192,Good,
6_Mesic,36,10,Lw,35192,Fair,36
6_Mesic,1,11,Sx,39619,Fair,
6_Mesic,2,11,Sx,39619,Good,
6_Mesic,3,11,Sx,39619,Fair,
6_Mesic,4,11,Sx,39619,Fair,
6_Mesic,5,11,Sx,39619,Fair,
6_Mesic,6,11,Sx,39619,Fair,
6_Mesic,7,11,Sx,39619,Good,
6_Mesic,8,11,Sx,39619,Good,
6_Mesic,9,11,Sx,39619,Fair,
6_Mesic,10,11,Sx,39619,Good,
6_Mesic,11,11,Sx,39619,Good,
6_Mesic,12,11,Sx,39619,Good,
6_Mesic,13,11,Sx,39619,Fair,
6_Mesic,14,11,Sx,39619,Fair,
6_Mesic,15,11,Sx,39619,Good,
6_Mesic,16,11,Sx,39619,Fair,
6_Mesic,17,11,Sx,39619,Good,
6_Mesic,18,11,Sx,39619,Good,
6_Mesic,19,11,Sx,39619,Good,
6_Mesic,20,11,Sx,39619,Fair,
6_Mesic,21,11,Sx,39619,Good,
6_Mesic,22,11,Sx,39619,Good,
6_Mesic,23,11,Sx,39619,Good,
6_Mesic,24,11,Sx,39619,Fair,
6_Mesic,25,11,Sx,39619,Good,
6_Mesic,26,11,Sx,39619,Good,
6_Mesic,27,11,Sx,39619,Good,
6_Mesic,28,11,Sx,39619,Good,
6_Mesic,29,11,Sx,39619,Fair,
6_Mesic,30,11,Sx,39619,Good,
6_Mesic,31,11,Sx,39619,Fair,
6_Mesic,32,11,Sx,39619,Good,
6_Mesic,33,11,Sx,39619,Fair,
6_Mesic,34,11,Sx,39619,Fair,
6_Mesic,35,11,Sx,39619,Good,
6_Mesic,36,11,Sx,39619,Good,
6_Mesic,1,12,Pl,13903,Good,
6_Mesic,2,12,Pl,13903,Good,
6_Mesic,3,12,Pl,13903,Good,
6_Mesic,4,12,Pl,13903,Good,
6_Mesic,5,12,Pl,13903,Good,
6_Mesic,6,12,Pl,13903,Good,
6_Mesic,7,12,Pl,13903,Good,
6_Mesic,8,12,Pl,13903,Good,
6_Mesic,9,12,Pl,13903,Good,
6_Mesic,10,12,Pl,13903,Good,
6_Mesic,11,12,Pl,13903,Good,
6_Mesic,12,12,Pl,13903,Good,
6_Mesic,13,12,Pl,13903,Good,
6_Mesic,14,12,Pl,13903,Good,
6_Mesic,15,12,Pl,13903,Good,
6_Mesic,16,12,Pl,13903,Good,
6_Mesic,17,12,Pl,13903,Good,
6_Mesic,18,12,Pl,13903,Good,
6_Mesic,19,12,Pl,13903,Good,
6_Mesic,20,12,Pl,13903,Fair,
6_Mesic,21,12,Pl,13903,Good,
6_Mesic,22,12,Pl,13903,Good,
6_Mesic,23,12,Pl,13903,Good,
6_Mesic,24,12,Pl,13903,Good,
6_Mesic,25,12,Pl,13903,Good,
6_Mesic,26,12,Pl,13903,Good,
6_Mesic,27,12,Pl,13903,Good,
6_Mesic,28,12,Pl,13903,Good,
6_Mesic,29,12,Pl,13903,Good,
6_Mesic,30,12,Pl,13903,Good,
6_Mesic,31,12,Pl,13903,Good,
6_Mesic,32,12,Pl,13903,Good,
6_Mesic,33,12,Pl,13903,Good,
6_Mesic,34,12,Pl,13903,Good,
6_Mesic,35,12,Pl,13903,Good,
6_Mesic,36,12,Pl,13903,Fair,
6_Mesic,1,13,Pl,63705,Good,
6_Mesic,2,13,Pl,63705,Good,
6_Mesic,3,13,Pl,63705,Good,
6_Mesic,4,13,Pl,63705,Good,
6_Mesic,5,13,Pl,63705,Good,
6_Mesic,6,13,Pl,63705,Good,6
6_Mesic,7,13,Pl,63705,Good,
