FID,Plot,Row,Column,Date,Species,Seedlot,TreeID,Height,Diameter,Condition ,Dmg.Agent,Dmg.Severity,Comment
7_Mesic,1,1,1,2019-09-24,Fd,48678,1,,,Good,,,
7_Mesic,1,2,1,2019-09-24,Fd,48678,2,,,Good,,,
7_Mesic,1,3,1,2019-09-24,Fd,48678,3,,,Good,,,
7_Mesic,1,4,1,2019-09-24,Fd,48678,4,,,Good,,,
7_Mesic,1,5,1,2019-09-24,Fd,48678,5,,,Good,,,
7_Mesic,1,6,1,2019-09-24,Fd,48678,6,,,Good,,,
7_Mesic,1,1,2,2019-09-24,Fd,48678,7,,,Fair,,,
7_Mesic,1,2,2,2019-09-24,Fd,48678,8,,,Good,,,
7_Mesic,1,3,2,2019-09-24,Fd,48678,9,,,Good,,,
7_Mesic,1,4,2,2019-09-24,Fd,48678,10,,,Poor,,,
7_Mesic,1,5,2,2019-09-24,Fd,48678,11,,,Good,,,
7_Mesic,1,6,2,2019-09-24,Fd,48678,12,,,Good,,,
7_Mesic,1,1,3,2019-09-24,Fd,48678,13,,,Good,,,
7_Mesic,1,2,3,2019-09-24,Fd,48678,14,,,Good,,,
7_Mesic,1,3,3,2019-09-24,Fd,48678,15,,,Fair,,,
7_Mesic,1,4,3,2019-09-24,Fd,48678,16,,,Good,,,
7_Mesic,1,5,3,2019-09-24,Fd,48678,17,,,Fair,,,
7_Mesic,1,6,3,2019-09-24,Fd,48678,18,,,Good,,,
7_Mesic,1,1,4,2019-09-24,Fd,48678,19,,,Good,,,
7_Mesic,1,2,4,2019-09-24,Fd,48678,20,,,Good,,,
7_Mesic,1,3,4,2019-09-24,Fd,48678,21,,,Good,,,
7_Mesic,1,4,4,2019-09-24,Fd,48678,22,,,Good,,,
7_Mesic,1,5,4,2019-09-24,Fd,48678,23,,,Good,,,
7_Mesic,1,6,4,2019-09-24,Fd,48678,24,,,Good,,,
7_Mesic,1,1,5,2019-09-24,Fd,48678,25,,,Fair,,,
7_Mesic,1,2,5,2019-09-24,Fd,48678,26,,,Good,,,
7_Mesic,1,3,5,2019-09-24,Fd,48678,27,,,Good,,,
7_Mesic,1,4,5,2019-09-24,Fd,48678,28,,,Good,,,
7_Mesic,1,5,5,2019-09-24,Fd,48678,29,,,Fair,,,
7_Mesic,1,6,5,2019-09-24,Fd,48678,30,,,Poor,,,
7_Mesic,1,1,6,2019-09-24,Fd,48678,31,,,Good,,,
7_Mesic,1,2,6,2019-09-24,Fd,48678,32,,,Good,,,
7_Mesic,1,3,6,2019-09-24,Fd,48678,33,,,Good,,,
7_Mesic,1,4,6,2019-09-24,Fd,48678,34,,,Good,,,
7_Mesic,1,5,6,2019-09-24,Fd,48678,35,,,Good,,,
7_Mesic,1,6,6,2019-09-24,Fd,48678,36,,,Good,,,
