FID,Tree,Plot,Species,Seedlot,Condition ,Comment
9_Demo,1,1,Sx,39619,Good,start NW corner
9_Demo,2,1,Sx,39619,Good,"lot of grass compet, some Alvi"
9_Demo,3,1,Sx,39619,Good,
9_Demo,4,1,Sx,39619,Good,
9_Demo,5,1,Sx,39619,Good,
9_Demo,6,1,Sx,39619,Good,6
9_Demo,7,1,Sx,39619,Good,
9_Demo,8,1,Sx,39619,Good,
9_Demo,9,1,Sx,39619,Good,
9_Demo,10,1,Sx,39619,Good,
9_Demo,11,1,Sx,39619,Good,
9_Demo,12,1,Sx,39619,Good,12
9_Demo,13,1,Sx,39619,Good,
9_Demo,14,1,Sx,39619,Good,
9_Demo,15,1,Sx,39619,Good,
9_Demo,16,1,Sx,39619,Good,
9_Demo,17,1,Sx,39619,Good,
9_Demo,18,1,Sx,39619,Good,18
9_Demo,19,1,Sx,39619,Good,
9_Demo,20,1,Sx,39619,Good,
9_Demo,21,1,Sx,39619,Good,
9_Demo,22,1,Sx,39619,Good,
9_Demo,23,1,Sx,39619,Good,
9_Demo,24,1,Sx,39619,Good,24
9_Demo,25,1,Sx,39619,Good,
9_Demo,26,1,Sx,39619,Good,
9_Demo,27,1,Sx,39619,Good,
9_Demo,28,1,Sx,39619,Good,
9_Demo,29,1,Sx,39619,Good,
9_Demo,30,1,Sx,39619,Fair,30
9_Demo,31,1,Sx,39619,Fair,
9_Demo,32,1,Sx,39619,Good,
9_Demo,33,1,Sx,39619,Fair,
9_Demo,34,1,Sx,39619,Good,
9_Demo,35,1,Sx,39619,Good,
9_Demo,36,1,Sx,39619,Good,36
9_Demo,1,2,Sx,8482,Fair,
9_Demo,2,2,Sx,8482,Good,
9_Demo,3,2,Sx,8482,Good,
9_Demo,4,2,Sx,8482,Fair,
9_Demo,5,2,Sx,8482,Good,
9_Demo,6,2,Sx,8482,Good,6
9_Demo,7,2,Sx,8482,Good,
9_Demo,8,2,Sx,8482,Good,
9_Demo,9,2,Sx,8482,Good,
9_Demo,10,2,Sx,8482,Good,
9_Demo,11,2,Sx,8482,Good,
9_Demo,12,2,Sx,8482,Good,13
9_Demo,13,2,Sx,8482,Fair,
9_Demo,14,2,Sx,8482,Fair,
9_Demo,15,2,Sx,8482,Good,
9_Demo,16,2,Sx,8482,Good,
9_Demo,17,2,Sx,8482,Good,
9_Demo,18,2,Sx,8482,Fair,18
9_Demo,19,2,Sx,8482,Good,
9_Demo,20,2,Sx,8482,Good,
9_Demo,21,2,Sx,8482,Good,
9_Demo,22,2,Sx,8482,Good,
9_Demo,23,2,Sx,8482,Fair,
9_Demo,24,2,Sx,8482,Good,24
9_Demo,25,2,Sx,8482,Good,
9_Demo,26,2,Sx,8482,Good,
9_Demo,27,2,Sx,8482,Good,
9_Demo,28,2,Sx,8482,Good,
9_Demo,29,2,Sx,8482,Good,
9_Demo,30,2,Sx,8482,Good,30
9_Demo,31,2,Sx,8482,Good,
9_Demo,32,2,Sx,8482,Fair,
9_Demo,33,2,Sx,8482,Good,
9_Demo,34,2,Sx,8482,Fair,
9_Demo,35,2,Sx,8482,Fair,
9_Demo,36,2,Sx,8482,Poor,36
9_Demo,1,3,Sx,63594,Poor,
9_Demo,2,3,Sx,63594,Good,
9_Demo,3,3,Sx,63594,Good,
9_Demo,4,3,Sx,63594,Good,
9_Demo,5,3,Sx,63594,Good,
9_Demo,6,3,Sx,63594,Good,6
9_Demo,7,3,Sx,63594,Good,
9_Demo,8,3,Sx,63594,Good,
9_Demo,9,3,Sx,63594,Good,
9_Demo,10,3,Sx,63594,Fair,
9_Demo,11,3,Sx,63594,Good,
9_Demo,12,3,Sx,63594,Good,12
9_Demo,13,3,Sx,63594,Good,
9_Demo,14,3,Sx,63594,Good,
9_Demo,15,3,Sx,63594,Good,
9_Demo,16,3,Sx,63594,Good,
9_Demo,17,3,Sx,63594,Good,
9_Demo,18,3,Sx,63594,Good,18
9_Demo,19,3,Sx,63594,Good,
9_Demo,20,3,Sx,63594,Good,
9_Demo,21,3,Sx,63594,Good,
9_Demo,22,3,Sx,63594,Good,
9_Demo,23,3,Sx,63594,Good,
9_Demo,24,3,Sx,63594,Good,24
9_Demo,25,3,Sx,63594,Fair,
9_Demo,26,3,Sx,63594,Good,
9_Demo,27,3,Sx,63594,Good,
9_Demo,28,3,Sx,63594,Good,
9_Demo,29,3,Sx,63594,Good,
9_Demo,30,3,Sx,63594,Good,30
9_Demo,31,3,Sx,63594,Good,
9_Demo,32,3,Sx,63594,Good,
9_Demo,33,3,Sx,63594,Good,
9_Demo,34,3,Sx,63594,Good,
9_Demo,35,3,Sx,63594,Good,
9_Demo,36,3,Sx,63594,Good,36
9_Demo,1,4,Pl,32274,Fair,
9_Demo,2,4,Pl,32274,Good,
9_Demo,3,4,Pl,32274,Good,
9_Demo,4,4,Pl,32274,Good,
9_Demo,5,4,Pl,32274,Fair,
9_Demo,6,4,Pl,32274,Good,6
9_Demo,7,4,Pl,32274,Fair,
9_Demo,8,4,Pl,32274,Good,
9_Demo,9,4,Pl,32274,Good,
9_Demo,10,4,Pl,32274,Good,
9_Demo,11,4,Pl,32274,Good,
9_Demo,12,4,Pl,32274,Good,12
9_Demo,13,4,Pl,32274,Good,
9_Demo,14,4,Pl,32274,Good,
9_Demo,15,4,Pl,32274,Good,
9_Demo,16,4,Pl,32274,Good,
9_Demo,17,4,Pl,32274,Good,
9_Demo,18,4,Pl,32274,Good,18
9_Demo,19,4,Pl,32274,Good,
9_Demo,20,4,Pl,32274,Good,
9_Demo,21,4,Pl,32274,Good,
9_Demo,22,4,Pl,32274,Good,
9_Demo,23,4,Pl,32274,Good,
9_Demo,24,4,Pl,32274,Good,24
9_Demo,25,4,Pl,32274,Good,
9_Demo,26,4,Pl,32274,Good,
9_Demo,27,4,Pl,32274,Good,
9_Demo,28,4,Pl,32274,Good,
9_Demo,29,4,Pl,32274,Good,
9_Demo,30,4,Pl,32274,Good,30
9_Demo,31,4,Pl,32274,Good,
9_Demo,32,4,Pl,32274,Good,
9_Demo,33,4,Pl,32274,Poor,mechanical damage
9_Demo,34,4,Pl,32274,Good,
9_Demo,35,4,Pl,32274,Good,
9_Demo,36,4,Pl,32274,Good,36
9_Demo,1,5,Pl,13903,Good,
9_Demo,2,5,Pl,13903,Fair,
9_Demo,3,5,Pl,13903,Good,
9_Demo,4,5,Pl,13903,Fair,
9_Demo,5,5,Pl,13903,Good,
9_Demo,6,5,Pl,13903,Good,6
9_Demo,7,5,Pl,13903,Good,
9_Demo,8,5,Pl,13903,Good,
9_Demo,9,5,Pl,13903,Fair,
9_Demo,10,5,Pl,13903,Good,
9_Demo,11,5,Pl,13903,Good,
9_Demo,12,5,Pl,13903,Good,12
9_Demo,13,5,Pl,13903,Good,
9_Demo,14,5,Pl,13903,Fair,
9_Demo,15,5,Pl,13903,Good,
9_Demo,16,5,Pl,13903,Good,
9_Demo,17,5,Pl,13903,Good,
9_Demo,18,5,Pl,13903,Good,18
9_Demo,19,5,Pl,13903,Good,
9_Demo,20,5,Pl,13903,Good,
9_Demo,21,5,Pl,13903,Good,
9_Demo,22,5,Pl,13903,Good,
9_Demo,23,5,Pl,13903,Good,
9_Demo,24,5,Pl,13903,Fair,24
9_Demo,25,5,Pl,13903,Good,
9_Demo,26,5,Pl,13903,Good,
9_Demo,27,5,Pl,13903,Fair,
9_Demo,28,5,Pl,13903,Good,
9_Demo,29,5,Pl,13903,Good,
9_Demo,30,5,Pl,13903,Good,30
9_Demo,31,5,Pl,13903,Good,
9_Demo,32,5,Pl,13903,Good,
9_Demo,33,5,Pl,13903,Good,
9_Demo,34,5,Pl,13903,Good,
9_Demo,35,5,Pl,13903,Good,
9_Demo,36,5,Pl,13903,Good,36
9_Demo,1,6,Pl,63705,Good,
9_Demo,2,6,Pl,63705,Good,
9_Demo,3,6,Pl,63705,Good,
9_Demo,4,6,Pl,63705,Good,
9_Demo,5,6,Pl,63705,Good,
9_Demo,6,6,Pl,63705,Good,6
9_Demo,7,6,Pl,63705,Good,
9_Demo,8,6,Pl,63705,Good,
9_Demo,9,6,Pl,63705,Good,
9_Demo,10,6,Pl,63705,Good,
9_Demo,11,6,Pl,63705,Good,
9_Demo,12,6,Pl,63705,Good,12
9_Demo,13,6,Pl,63705,Good,
9_Demo,14,6,Pl,63705,Good,
9_Demo,15,6,Pl,63705,Poor,mechanical damage
9_Demo,16,6,Pl,63705,Good,
9_Demo,17,6,Pl,63705,Good,
9_Demo,18,6,Pl,63705,Good,18
9_Demo,19,6,Pl,63705,Good,
9_Demo,20,6,Pl,63705,Good,
9_Demo,21,6,Pl,63705,Good,
9_Demo,22,6,Pl,63705,Good,
9_Demo,23,6,Pl,63705,Good,
9_Demo,24,6,Pl,63705,Good,24
9_Demo,25,6,Pl,63705,Good,
9_Demo,26,6,Pl,63705,Good,
9_Demo,27,6,Pl,63705,Good,
9_Demo,28,6,Pl,63705,Good,
9_Demo,29,6,Pl,63705,Good,
9_Demo,30,6,Pl,63705,Good,30
9_Demo,31,6,Pl,63705,Good,
9_Demo,32,6,Pl,63705,Good,
9_Demo,33,6,Pl,63705,Good,
9_Demo,34,6,Pl,63705,Good,
9_Demo,35,6,Pl,63705,Fair,
9_Demo,36,6,Pl,63705,Good,36
9_Demo,1,7,Lw,39282,Good,
9_Demo,2,7,Lw,39282,Poor,
9_Demo,3,7,Lw,39282,Fair,
9_Demo,4,7,Lw,39282,Good,
9_Demo,5,7,Lw,39282,Fair,
9_Demo,6,7,Lw,39282,Good,6
9_Demo,7,7,Lw,39282,Poor,unkown
9_Demo,8,7,Lw,39282,Good,
9_Demo,9,7,Lw,39282,Good,
9_Demo,10,7,Lw,39282,Good,
9_Demo,11,7,Lw,39282,Fair,
9_Demo,12,7,Lw,39282,Fair,12
9_Demo,13,7,Lw,39282,Good,
9_Demo,14,7,Lw,39282,Good,
9_Demo,15,7,Lw,39282,Good,
9_Demo,16,7,Lw,39282,Good,
9_Demo,17,7,Lw,39282,Good,
9_Demo,18,7,Lw,39282,Good,18
9_Demo,19,7,Lw,39282,Good,
9_Demo,20,7,Lw,39282,Good,
9_Demo,21,7,Lw,39282,Missing,not planted
9_Demo,22,7,Lw,39282,Fair,
9_Demo,23,7,Lw,39282,Dead,unknown
9_Demo,24,7,Lw,39282,Dead,24
