FID,Tree,Plot,Species,Seedlot,Condition ,Comment
9_Dry,1,1,Pl,13903,Good,
9_Dry,2,1,Pl,13903,Fair,
9_Dry,3,1,Pl,13903,Good,
9_Dry,4,1,Pl,13903,Good,
9_Dry,5,1,Pl,13903,Poor,
9_Dry,6,1,Pl,13903,Good,
9_Dry,7,1,Pl,13903,Good,
9_Dry,8,1,Pl,13903,Good,
9_Dry,9,1,Pl,13903,Good,
9_Dry,10,1,Pl,13903,Good,
9_Dry,11,1,Pl,13903,Good,
9_Dry,12,1,Pl,13903,Fair,
9_Dry,13,1,Pl,13903,Good,
9_Dry,14,1,Pl,13903,Good,
9_Dry,15,1,Pl,13903,Good,
9_Dry,16,1,Pl,13903,Good,
9_Dry,17,1,Pl,13903,Good,
9_Dry,18,1,Pl,13903,Good,
9_Dry,19,1,Pl,13903,Good,
9_Dry,20,1,Pl,13903,Good,
9_Dry,21,1,Pl,13903,Good,
9_Dry,22,1,Pl,13903,Good,
9_Dry,23,1,Pl,13903,Good,
9_Dry,24,1,Pl,13903,Good,
9_Dry,25,1,Pl,13903,Good,
9_Dry,26,1,Pl,13903,Good,
9_Dry,27,1,Pl,13903,Good,
9_Dry,28,1,Pl,13903,Good,
9_Dry,29,1,Pl,13903,Fair,
9_Dry,30,1,Pl,13903,Poor,
9_Dry,31,1,Pl,13903,Good,
9_Dry,32,1,Pl,13903,Good,
9_Dry,33,1,Pl,13903,Good,
9_Dry,34,1,Pl,13903,Good,
9_Dry,35,1,Pl,13903,Good,
9_Dry,36,1,Pl,13903,Good,
9_Dry,1,2,Lw,35192,Fair,
9_Dry,2,2,Lw,35192,Fair,
9_Dry,3,2,Lw,35192,Fair,
9_Dry,4,2,Lw,35192,Good,
9_Dry,5,2,Lw,35192,Good,
9_Dry,6,2,Lw,35192,Poor,
9_Dry,7,2,Lw,35192,Good,
9_Dry,8,2,Lw,35192,Good,
9_Dry,9,2,Lw,35192,Fair,
9_Dry,10,2,Lw,35192,Dead,rocky area
9_Dry,11,2,Lw,35192,Fair,
9_Dry,12,2,Lw,35192,Fair,
9_Dry,13,2,Lw,35192,Good,
9_Dry,14,2,Lw,35192,Fair,
9_Dry,15,2,Lw,35192,Poor,
9_Dry,16,2,Lw,35192,Good,
9_Dry,17,2,Lw,35192,Good,
9_Dry,18,2,Lw,35192,Good,
9_Dry,19,2,Lw,35192,Good,
9_Dry,20,2,Lw,35192,Good,
9_Dry,21,2,Lw,35192,Good,
9_Dry,22,2,Lw,35192,Fair,
9_Dry,23,2,Lw,35192,Poor,
9_Dry,24,2,Lw,35192,Fair,
9_Dry,25,2,Lw,35192,Good,
9_Dry,26,2,Lw,35192,Good,
9_Dry,27,2,Lw,35192,Good,
9_Dry,28,2,Lw,35192,Fair,
9_Dry,29,2,Lw,35192,Fair,
9_Dry,30,2,Lw,35192,Good,
9_Dry,31,2,Lw,35192,Poor,
9_Dry,32,2,Lw,35192,Fair,
9_Dry,33,2,Lw,35192,Fair,
9_Dry,34,2,Lw,35192,Poor,
9_Dry,35,2,Lw,35192,Good,
9_Dry,36,2,Lw,35192,Fair,
9_Dry,1,3,Fd,8492,Good,
9_Dry,2,3,Fd,8492,Poor,
9_Dry,3,3,Fd,8492,Fair,
9_Dry,4,3,Fd,8492,Good,
9_Dry,5,3,Fd,8492,Good,
9_Dry,6,3,Fd,8492,Poor,
9_Dry,7,3,Fd,8492,Poor,
9_Dry,8,3,Fd,8492,Fair,
9_Dry,9,3,Fd,8492,Good,
9_Dry,10,3,Fd,8492,Poor,
9_Dry,11,3,Fd,8492,Fair,
9_Dry,12,3,Fd,8492,Fair,
9_Dry,13,3,Fd,8492,Fair,
9_Dry,14,3,Fd,8492,Fair,
9_Dry,15,3,Fd,8492,Poor,
9_Dry,16,3,Fd,8492,Good,
9_Dry,17,3,Fd,8492,Good,
9_Dry,18,3,Fd,8492,Fair,
9_Dry,19,3,Fd,8492,Fair,
9_Dry,20,3,Fd,8492,Good,
9_Dry,21,3,Fd,8492,Fair,
9_Dry,22,3,Fd,8492,Fair,
9_Dry,23,3,Fd,8492,Poor,
9_Dry,24,3,Fd,8492,Fair,
9_Dry,25,3,Fd,8492,Good,
9_Dry,26,3,Fd,8492,Fair,
9_Dry,27,3,Fd,8492,Fair,
9_Dry,28,3,Fd,8492,Good,
9_Dry,29,3,Fd,8492,Fair,
9_Dry,30,3,Fd,8492,Fair,
9_Dry,31,3,Fd,8492,Poor,
9_Dry,32,3,Fd,8492,Good,
9_Dry,33,3,Fd,8492,Poor,
9_Dry,34,3,Fd,8492,Fair,
9_Dry,35,3,Fd,8492,Missing,
9_Dry,36,3,Fd,8492,Fair,
9_Dry,1,4,Cw,48519,Good,
9_Dry,2,4,Cw,48519,Fair,
9_Dry,3,4,Cw,48519,Poor,
9_Dry,4,4,Cw,48519,Fair,
9_Dry,5,4,Cw,48519,Fair,
9_Dry,6,4,Cw,48519,Good,
9_Dry,7,4,Cw,48519,Fair,
9_Dry,8,4,Cw,48519,Good,
9_Dry,9,4,Cw,48519,Good,
9_Dry,10,4,Cw,48519,Poor,
9_Dry,11,4,Cw,48519,Poor,
9_Dry,12,4,Cw,48519,Fair,
9_Dry,13,4,Cw,48519,Fair,
9_Dry,14,4,Cw,48519,Poor,
9_Dry,15,4,Cw,48519,Fair,
9_Dry,16,4,Cw,48519,Fair,
9_Dry,17,4,Cw,48519,Good,
9_Dry,18,4,Cw,48519,Good,
9_Dry,19,4,Cw,48519,Good,
9_Dry,20,4,Cw,48519,Fair,
9_Dry,21,4,Cw,48519,Good,
9_Dry,22,4,Cw,48519,Fair,
9_Dry,23,4,Cw,48519,Fair,
9_Dry,24,4,Cw,48519,Fair,
9_Dry,25,4,Cw,48519,Good,
9_Dry,26,4,Cw,48519,Fair,
9_Dry,27,4,Cw,48519,Good,
9_Dry,28,4,Cw,48519,Good,
9_Dry,29,4,Cw,48519,Fair,
9_Dry,30,4,Cw,48519,Fair,
9_Dry,31,4,Cw,48519,Fair,
9_Dry,32,4,Cw,48519,Fair,
9_Dry,33,4,Cw,48519,Good,
9_Dry,34,4,Cw,48519,Good,
9_Dry,35,4,Cw,48519,Good,
9_Dry,36,4,Cw,48519,Good,
9_Dry,1,5,Cw,53977,Good,
9_Dry,2,5,Cw,53977,Good,
9_Dry,3,5,Cw,53977,Fair,
9_Dry,4,5,Cw,53977,Fair,
9_Dry,5,5,Cw,53977,Fair,
9_Dry,6,5,Cw,53977,Fair,
9_Dry,7,5,Cw,53977,Good,
9_Dry,8,5,Cw,53977,Poor,
9_Dry,9,5,Cw,53977,Good,
9_Dry,10,5,Cw,53977,Fair,
9_Dry,11,5,Cw,53977,Good,
9_Dry,12,5,Cw,53977,Good,
9_Dry,13,5,Cw,53977,Good,
9_Dry,14,5,Cw,53977,Good,
9_Dry,15,5,Cw,53977,Fair,
9_Dry,16,5,Cw,53977,Fair,
9_Dry,17,5,Cw,53977,Fair,
9_Dry,18,5,Cw,53977,Poor,
9_Dry,19,5,Cw,53977,Fair,
9_Dry,20,5,Cw,53977,Poor,
9_Dry,21,5,Cw,53977,Moribund,
9_Dry,22,5,Cw,53977,Fair,
9_Dry,23,5,Cw,53977,Good,
9_Dry,24,5,Cw,53977,Fair,
9_Dry,25,5,Cw,53977,Good,
9_Dry,26,5,Cw,53977,Good,
9_Dry,27,5,Cw,53977,Poor,
9_Dry,28,5,Cw,53977,Poor,
9_Dry,29,5,Cw,53977,Moribund,
9_Dry,30,5,Cw,53977,Poor,
9_Dry,31,5,Cw,53977,Good,
9_Dry,32,5,Cw,53977,Fair,
9_Dry,33,5,Cw,53977,Poor,
9_Dry,34,5,Cw,53977,Moribund,
9_Dry,35,5,Cw,53977,Poor,
9_Dry,36,5,Cw,53977,Poor,
9_Dry,1,6,Sx,8482,Fair,
9_Dry,2,6,Sx,8482,Good,
9_Dry,3,6,Sx,8482,Good,
9_Dry,4,6,Sx,8482,Fair,
9_Dry,5,6,Sx,8482,Good,
9_Dry,6,6,Sx,8482,Good,
9_Dry,7,6,Sx,8482,Good,
9_Dry,8,6,Sx,8482,Good,
9_Dry,9,6,Sx,8482,Good,
9_Dry,10,6,Sx,8482,Poor,
9_Dry,11,6,Sx,8482,Good,
9_Dry,12,6,Sx,8482,Good,
9_Dry,13,6,Sx,8482,Good,
9_Dry,14,6,Sx,8482,Fair,
9_Dry,15,6,Sx,8482,Good,
9_Dry,16,6,Sx,8482,Fair,
9_Dry,17,6,Sx,8482,Fair,
9_Dry,18,6,Sx,8482,Fair,
9_Dry,19,6,Sx,8482,Fair,
9_Dry,20,6,Sx,8482,Good,
9_Dry,21,6,Sx,8482,Good,
9_Dry,22,6,Sx,8482,Fair,
9_Dry,23,6,Sx,8482,Good,
