FID,Plot,Row,Column,Date,Species,Seedlot,TreeID,Height,Diameter,Condition ,Dmg.Agent,Dmg.Severity,Comment
Fake_15,1,1,1,2019-10-22,Sx,A,1,20.4304143,6.874749191,Good,NA,NA,NA
Fake_15,1,1,2,2019-10-22,Sx,A,2,12.35655483,14.0130678,Good,NA,NA,NA
Fake_15,1,1,3,2019-10-22,Sx,A,3,18.24090394,9.535407629,Good,NA,NA,NA
Fake_15,1,1,4,2019-10-22,Sx,A,4,18.98383697,13.73136048,Good,NA,NA,NA
Fake_15,1,1,5,2019-10-22,Sx,A,5,26.8402705,13.90138346,Good,NA,NA,NA
Fake_15,1,1,6,2019-10-22,Sx,A,6,12.05910335,16.54226356,Good,NA,NA,NA
Fake_15,1,2,6,2019-10-22,Sx,A,7,16.37031856,13.52232946,Good,NA,NA,NA
Fake_15,1,2,5,2019-10-22,Sx,A,8,16.16598835,13.99470101,Good,NA,NA,NA
Fake_15,1,2,4,2019-10-22,Sx,A,9,15.59041788,6.873744676,Good,NA,NA,NA
Fake_15,1,2,3,2019-10-22,Sx,A,10,29.19343566,16.4532893,Good,NA,NA,NA
Fake_15,1,2,2,2019-10-22,Sx,A,11,26.5110159,5.967786943,Good,NA,NA,NA
Fake_15,1,2,1,2019-10-22,Sx,A,12,10.23893129,9.037593025,Poor,NA,NA,NA
Fake_15,1,3,1,2019-10-22,Sx,A,13,NA,NA,Missing,NA,NA,NA
Fake_15,1,3,2,2019-10-22,Sx,A,14,23.27096971,8.516594412,Good,NA,NA,NA
Fake_15,1,3,3,2019-10-22,Sx,A,15,10.72318187,13.48474267,Good,NA,NA,NA
Fake_15,1,3,4,2019-10-22,Sx,A,16,23.92966715,7.602634828,Good,NA,NA,NA
Fake_15,1,3,5,2019-10-22,Sx,A,17,18.68744178,6.495181733,Good,NA,NA,NA
Fake_15,1,3,6,2019-10-22,Sx,A,18,20.54537857,15.98766213,Good,NA,NA,NA
Fake_15,1,4,6,2019-10-22,Sx,A,19,12.46327004,12.30416117,Good,NA,NA,NA
Fake_15,1,4,5,2019-10-22,Sx,A,20,25.15784162,7.020850195,Good,NA,NA,NA
Fake_15,1,4,4,2019-10-22,Sx,A,21,13.89796029,10.73359448,Good,NA,NA,NA
Fake_15,1,4,3,2019-10-22,Sx,A,22,15.49719435,6.339360711,Good,NA,NA,NA
Fake_15,1,4,2,2019-10-22,Sx,A,23,15.9354523,13.09310532,Good,NA,NA,NA
Fake_15,1,4,1,2019-10-22,Sx,A,24,13.83864732,6.329822421,Poor,NA,NA,NA
Fake_15,1,5,1,2019-10-22,Sx,A,25,26.99360217,5.852393187,Good,NA,NA,NA
Fake_15,1,5,2,2019-10-22,Sx,A,26,21.41951088,14.43472385,Good,NA,NA,NA
Fake_15,1,5,3,2019-10-22,Sx,A,27,12.03465651,5.384693143,Good,NA,NA,NA
Fake_15,1,5,4,2019-10-22,Sx,A,28,12.02511573,11.23937225,Good,NA,NA,NA
Fake_15,1,5,5,2019-10-22,Sx,A,29,10.80781479,14.25011257,Fair,NA,NA,NA
Fake_15,1,5,6,2019-10-22,Sx,A,30,16.34046615,6.756526233,Good,NA,NA,NA
Fake_15,1,6,6,2019-10-22,Sx,A,31,24.14264739,5.38212103,Fair,NA,NA,NA
Fake_15,1,6,5,2019-10-22,Sx,A,32,23.11056287,12.10700883,Good,NA,NA,NA
Fake_15,1,6,4,2019-10-22,Sx,A,33,13.80968179,14.20056333,Good,NA,NA,NA
Fake_15,1,6,3,2019-10-22,Sx,A,34,17.47041643,14.37768752,Good,NA,NA,NA
Fake_15,1,6,2,2019-10-22,Sx,A,35,25.54011746,15.72567461,Good,NA,NA,NA
Fake_15,1,6,1,2019-10-22,Sx,A,36,21.5311888,11.53683184,Good,NA,NA,NA
Fake_15,2,1,1,2019-10-22,Sx,B,1,10.74518102,6.393798132,Good,NA,NA,NA
Fake_15,2,1,2,2019-10-22,Sx,B,2,22.99625346,12.46514668,Moribund,NA,NA,NA
Fake_15,2,1,3,2019-10-22,Sx,B,3,12.79096587,10.15394704,Fair,NA,NA,NA
Fake_15,2,1,4,2019-10-22,Sx,B,4,14.37807393,14.56871042,Good,NA,NA,NA
Fake_15,2,1,5,2019-10-22,Sx,B,5,10.22497785,6.958486846,Good,NA,NA,NA
Fake_15,2,1,6,2019-10-22,Sx,B,6,16.47677871,5.645566736,Good,NA,NA,NA
Fake_15,2,2,6,2019-10-22,Sx,B,7,28.00474899,6.840379432,Good,NA,NA,NA
Fake_15,2,2,5,2019-10-22,Sx,B,8,23.62190661,15.33996343,Good,NA,NA,NA
Fake_15,2,2,4,2019-10-22,Sx,B,9,12.88550265,11.81483341,Good,NA,NA,NA
Fake_15,2,2,3,2019-10-22,Sx,B,10,13.84914503,16.81468558,Good,NA,NA,NA
Fake_15,2,2,2,2019-10-22,Sx,B,11,17.21622844,12.21262483,Good,NA,NA,NA
Fake_15,2,2,1,2019-10-22,Sx,B,12,17.08243924,15.27580712,Moribund,NA,NA,NA
Fake_15,2,3,1,2019-10-22,Sx,B,13,15.01152965,7.725861799,Good,NA,NA,NA
Fake_15,2,3,2,2019-10-22,Sx,B,14,24.25944113,12.89449374,Good,NA,NA,NA
Fake_15,2,3,3,2019-10-22,Sx,B,15,14.07892288,11.0013827,Good,NA,NA,NA
Fake_15,2,3,4,2019-10-22,Sx,B,16,25.10601892,12.94264515,Good,NA,NA,NA
Fake_15,2,3,5,2019-10-22,Sx,B,17,18.4423831,15.04193559,Poor,NA,NA,NA
Fake_15,2,3,6,2019-10-22,Sx,B,18,23.95048291,5.554162306,Fair,NA,NA,NA
Fake_15,2,4,6,2019-10-22,Sx,B,19,29.26703275,12.54816647,Good,NA,NA,NA
Fake_15,2,4,5,2019-10-22,Sx,B,20,19.8607724,12.60599931,Good,NA,NA,NA
Fake_15,2,4,4,2019-10-22,Sx,B,21,29.83122784,11.64155619,Good,NA,NA,NA
Fake_15,2,4,3,2019-10-22,Sx,B,22,17.80820285,6.786736338,Good,NA,NA,NA
Fake_15,2,4,2,2019-10-22,Sx,B,23,18.32258359,9.607964953,Good,NA,NA,NA
Fake_15,2,4,1,2019-10-22,Sx,B,24,27.67539386,12.53752981,Good,NA,NA,NA
Fake_15,2,5,1,2019-10-22,Sx,B,25,19.26404653,6.973706085,Good,NA,NA,NA
Fake_15,2,5,2,2019-10-22,Sx,B,26,15.07489534,5.333841232,Good,NA,NA,NA
Fake_15,2,5,3,2019-10-22,Sx,B,27,22.84518713,10.20757237,Good,NA,NA,NA
Fake_15,2,5,4,2019-10-22,Sx,B,28,25.40154687,5.823719478,Good,NA,NA,NA
Fake_15,2,5,5,2019-10-22,Sx,B,29,23.07909461,6.796470625,Good,NA,NA,NA
Fake_15,2,5,6,2019-10-22,Sx,B,30,20.53854807,5.951493523,Good,NA,NA,NA
Fake_15,2,6,6,2019-10-22,Sx,B,31,16.26399002,10.96771051,Good,NA,NA,NA
Fake_15,2,6,5,2019-10-22,Sx,B,32,15.32446846,5.900376188,Good,NA,NA,NA
Fake_15,2,6,4,2019-10-22,Sx,B,33,20.87026926,15.33028469,Good,NA,NA,NA
Fake_15,2,6,3,2019-10-22,Sx,B,34,25.28613019,5.231284953,Good,NA,NA,NA
Fake_15,2,6,2,2019-10-22,Sx,B,35,13.10503289,8.151206773,Good,NA,NA,NA
Fake_15,2,6,1,2019-10-22,Sx,B,36,29.09255819,10.90231518,Good,NA,NA,NA
Fake_15,3,1,1,2019-10-22,Sx,C,1,24.10406366,9.804706443,Good,NA,NA,NA
Fake_15,3,1,2,2019-10-22,Sx,C,2,17.54412237,10.15234534,Poor,NA,NA,NA
Fake_15,3,1,3,2019-10-22,Sx,C,3,14.5924537,16.02710509,Good,NA,NA,NA
Fake_15,3,1,4,2019-10-22,Sx,C,4,26.85484065,14.75808424,Good,NA,NA,NA
Fake_15,3,1,5,2019-10-22,Sx,C,5,13.36638771,9.28629194,Good,NA,NA,NA
Fake_15,3,1,6,2019-10-22,Sx,C,6,19.34298052,9.062284698,Good,NA,NA,NA
Fake_15,3,2,6,2019-10-22,Sx,C,7,14.14026444,6.866699326,Fair,NA,NA,NA
Fake_15,3,2,5,2019-10-22,Sx,C,8,10.78269804,13.24716145,Moribund,NA,NA,NA
Fake_15,3,2,4,2019-10-22,Sx,C,9,21.80598922,6.21406073,Good,NA,NA,NA
Fake_15,3,2,3,2019-10-22,Sx,C,10,27.63419958,5.585590621,Poor,NA,NA,NA
Fake_15,3,2,2,2019-10-22,Sx,C,11,12.94831648,15.01776535,Good,NA,NA,NA
Fake_15,3,2,1,2019-10-22,Sx,C,12,10.36304531,8.493376434,Good,NA,NA,NA
Fake_15,3,3,1,2019-10-22,Sx,C,13,10.63128646,9.504862934,Dead,NA,NA,NA
Fake_15,3,3,2,2019-10-22,Sx,C,14,20.28095822,15.75410519,Good,NA,NA,NA
Fake_15,3,3,3,2019-10-22,Sx,C,15,21.3034478,6.170929222,Good,NA,NA,NA
Fake_15,3,3,4,2019-10-22,Sx,C,16,10.15844754,5.239277924,Good,NA,NA,NA
Fake_15,3,3,5,2019-10-22,Sx,C,17,26.59680308,14.18486997,Good,NA,NA,NA
Fake_15,3,3,6,2019-10-22,Sx,C,18,20.88689592,16.89283637,Good,NA,NA,NA
Fake_15,3,4,6,2019-10-22,Sx,C,19,23.02706682,14.71525571,Good,NA,NA,NA
Fake_15,3,4,5,2019-10-22,Sx,C,20,19.31653727,14.44550522,Fair,NA,NA,NA
Fake_15,3,4,4,2019-10-22,Sx,C,21,11.02226781,11.83034244,Dead,NA,NA,NA
Fake_15,3,4,3,2019-10-22,Sx,C,22,26.39146938,6.421005254,Good,NA,NA,NA
Fake_15,3,4,2,2019-10-22,Sx,C,23,15.48677689,10.71104347,Good,NA,NA,NA
Fake_15,3,4,1,2019-10-22,Sx,C,24,29.35157735,8.06873041,Good,NA,NA,NA
Fake_15,3,5,1,2019-10-22,Sx,C,25,15.24110859,14.59819111,Good,NA,NA,NA
Fake_15,3,5,2,2019-10-22,Sx,C,26,28.40185127,13.64186925,Poor,NA,NA,NA
Fake_15,3,5,3,2019-10-22,Sx,C,27,26.06638222,6.125372827,Good,NA,NA,NA
Fake_15,3,5,4,2019-10-22,Sx,C,28,16.27482033,16.74215819,Good,NA,NA,NA
Fake_15,3,5,5,2019-10-22,Sx,C,29,25.18883914,7.662765458,Good,NA,NA,NA
Fake_15,3,5,6,2019-10-22,Sx,C,30,27.41768163,6.953536888,Good,NA,NA,NA
Fake_15,3,6,6,2019-10-22,Sx,C,31,12.99194697,8.075362412,Good,NA,NA,NA
Fake_15,3,6,5,2019-10-22,Sx,C,32,20.28905542,16.12203048,Good,NA,NA,NA
Fake_15,3,6,4,2019-10-22,Sx,C,33,18.81798511,11.23685051,Good,NA,NA,NA
Fake_15,3,6,3,2019-10-22,Sx,C,34,24.14082012,13.22546464,Good,NA,NA,NA
Fake_15,3,6,2,2019-10-22,Sx,C,35,29.77636174,14.29160627,Fair,NA,NA,NA
Fake_15,3,6,1,2019-10-22,Sx,C,36,21.35198484,5.711541051,Good,NA,NA,NA
