FID,Plot,Orientation,Lat,Lon,Spacing,Height,Width
2_Mesic,1,42.3,54.88124907,-126.2245362,2,6,6
2_Mesic,2,42.3,54.88116586,-126.2243683,2,6,6
2_Mesic,3,42.3,54.8810856,-126.2242004,2,6,6
2_Mesic,4,42.3,54.88111492,-126.2246035,2,6,6
2_Mesic,5,42.3,54.88102319,-126.2244116,2,6,6
2_Mesic,6,42.3,54.88105251,-126.2248146,2,6,6
2_Mesic,7,42.3,54.88097225,-126.2246467,2,6,6
2_Mesic,8,42.3,54.88089199,-126.2244788,2,6,6
2_Mesic,9,42.3,54.88092131,-126.2248819,2,6,6
2_Mesic,10,42.3,54.88082959,-126.22469,2,6,6
2_Mesic,11,42.3,54.8808589,-126.225093,2,6,6
2_Mesic,12,42.3,54.88077865,-126.2249251,2,6,6
2_Mesic,13,42.3,54.88069839,-126.2247572,2,6,6
2_Mesic,14,42.3,54.8807277,-126.2251603,2,6,6
2_Mesic,15,42.3,54.88063598,-126.2249684,2,6,6
