FID,Plot,Orintation,N,E,Zone
2_Mesic,1,42.3,6086339.672,293159.283,10N
2_Mesic,2,42.3,6086330.25,293169.638,10N
2_Mesic,3,42.3,6086320.828,293179.993,10N
2_Mesic,4,42.3,6086325.279,293154.299,10N
2_Mesic,5,42.3,6086314.511,293166.133,10N
2_Mesic,6,42.3,6086318.963,293140.439,10N
2_Mesic,7,42.3,6086309.54,293150.794,10N
2_Mesic,8,42.3,6086300.118,293161.148,10N
2_Mesic,9,42.3,6086304.57,293135.454,10N
2_Mesic,10,42.3,6086293.802,293147.288,10N
2_Mesic,11,42.3,6086298.253,293121.594,10N
2_Mesic,12,42.3,6086288.831,293131.949,10N
2_Mesic,13,42.3,6086279.409,293142.304,10N
2_Mesic,14,42.3,6086283.86,293116.61,10N
2_Mesic,15,42.3,6086273.092,293128.444,10N
