Tree,Plot,Species,Seedlot,Condition ,Comment
1,1,Sx,39619,Fair,
2,1,Sx,39619,Good,
3,1,Sx,39619,Good,
4,1,Sx,39619,Good,
5,1,Sx,39619,Good,
6,1,Sx,39619,Good,
7,1,Sx,39619,Good,
8,1,Sx,39619,Good,
9,1,Sx,39619,Good,
10,1,Sx,39619,Good,
11,1,Sx,39619,Good,
12,1,Sx,39619,Good,
13,1,Sx,39619,Good,
14,1,Sx,39619,Good,
15,1,Sx,39619,Good,
16,1,Sx,39619,Fair,
17,1,Sx,39619,Good,
18,1,Sx,39619,Good,
19,1,Sx,39619,Good,
20,1,Sx,39619,Good,
21,1,Sx,39619,Fair,
22,1,Sx,39619,Good,
23,1,Sx,39619,Fair,
24,1,Sx,39619,Good,
25,1,Sx,39619,Good,
26,1,Sx,39619,Good,
27,1,Sx,39619,Good,
28,1,Sx,39619,Good,
29,1,Sx,39619,Good,
30,1,Sx,39619,Good,
31,1,Sx,39619,Good,
32,1,Sx,39619,Good,
33,1,Sx,39619,Good,
34,1,Sx,39619,Good,
35,1,Sx,39619,Good,
36,1,Sx,39619,Good,
1,2,Pl,13903,Fair,
2,2,Pl,13903,Good,
3,2,Pl,13903,Fair,
4,2,Pl,13903,Good,
5,2,Pl,13903,Good,
6,2,Pl,13903,Good,
7,2,Pl,13903,Good,
8,2,Pl,13903,Fair,
9,2,Pl,13903,Good,
10,2,Pl,13903,Good,
11,2,Pl,13903,Poor,
12,2,Pl,13903,Good,
13,2,Pl,13903,Fair,
14,2,Pl,13903,Good,
15,2,Pl,13903,Good,
16,2,Pl,13903,Good,
17,2,Pl,13903,Good,
18,2,Pl,13903,Good,
19,2,Pl,13903,Good,
20,2,Pl,13903,Good,
21,2,Pl,13903,Missing,
22,2,Pl,13903,Missing,lots of brush. paint not found
23,2,Pl,13903,Good,
24,2,Pl,13903,Good,
25,2,Pl,13903,Good,
26,2,Pl,13903,Good,
27,2,Pl,13903,Good,
28,2,Pl,13903,Good,
29,2,Pl,13903,Poor,
30,2,Pl,13903,Fair,
31,2,Pl,13903,Good,
32,2,Pl,13903,Fair,
33,2,Pl,13903,Fair,
34,2,Pl,13903,Good,
35,2,Pl,13903,Good,
36,2,Pl,13903,Good,
1,3,Fd,48678,Fair,
2,3,Fd,48678,Good,
3,3,Fd,48678,Poor,
4,3,Fd,48678,Fair,
5,3,Fd,48678,Good,
6,3,Fd,48678,Fair,
7,3,Fd,48678,Good,
8,3,Fd,48678,Good,
9,3,Fd,48678,Good,
10,3,Fd,48678,Fair,
11,3,Fd,48678,Good,
12,3,Fd,48678,Fair,
13,3,Fd,48678,Fair,
14,3,Fd,48678,Fair,
15,3,Fd,48678,Fair,
16,3,Fd,48678,Poor,
17,3,Fd,48678,Fair,
18,3,Fd,48678,Fair,
19,3,Fd,48678,Good,
20,3,Fd,48678,Good,
21,3,Fd,48678,Fair,
22,3,Fd,48678,Good,
23,3,Fd,48678,Poor,
24,3,Fd,48678,Good,
25,3,Fd,48678,Good,
26,3,Fd,48678,Fair,
27,3,Fd,48678,Fair,
28,3,Fd,48678,Good,
29,3,Fd,48678,Fair,
30,3,Fd,48678,Missing,orange dots found. tree cleary missing 
31,3,Fd,48678,Missing,
32,3,Fd,48678,Fair,
33,3,Fd,48678,Good,
34,3,Fd,48678,Fair,
35,3,Fd,48678,Good,
36,3,Fd,48678,Good,
1,4,Cw,48519,Fair,
2,4,Cw,48519,Good,
3,4,Cw,48519,Good,
4,4,Cw,48519,Good,
5,4,Cw,48519,Good,
6,4,Cw,48519,Good,
7,4,Cw,48519,Good,
8,4,Cw,48519,Good,
9,4,Cw,48519,Fair,
10,4,Cw,48519,Good,
11,4,Cw,48519,Good,
12,4,Cw,48519,Good,
13,4,Cw,48519,Good,
14,4,Cw,48519,Good,
15,4,Cw,48519,Good,
16,4,Cw,48519,Good,
17,4,Cw,48519,Good,
18,4,Cw,48519,Good,
19,4,Cw,48519,Good,
20,4,Cw,48519,Fair,
21,4,Cw,48519,Good,
22,4,Cw,48519,Good,
23,4,Cw,48519,Good,
24,4,Cw,48519,Missing,orange dot found. clearly missing
25,4,Cw,48519,Missing,clearly missing also wide open
26,4,Cw,48519,Good,
27,4,Cw,48519,Good,
28,4,Cw,48519,Good,
29,4,Cw,48519,Fair,
30,4,Cw,48519,Good,
31,4,Cw,48519,Good,
32,4,Cw,48519,Good,
33,4,Cw,48519,Good,
34,4,Cw,48519,Good,
35,4,Cw,48519,Good,
36,4,Cw,48519,Missing,clearly missing. irsnge dot found. wide open
1,5,Cw,40106,Good,
2,5,Cw,40106,Fair,
3,5,Cw,40106,Good,
4,5,Cw,40106,Good,
5,5,Cw,40106,Good,
6,5,Cw,40106,Good,
7,5,Cw,40106,Good,
8,5,Cw,40106,Fair,heavily browsed 
9,5,Cw,40106,Good,
10,5,Cw,40106,Good,
11,5,Cw,40106,Good,
12,5,Cw,40106,Fair,
13,5,Cw,40106,Good,
14,5,Cw,40106,Good,
15,5,Cw,40106,Good,
16,5,Cw,40106,Good,
17,5,Cw,40106,Good,
18,5,Cw,40106,Good,
19,5,Cw,40106,Good,
20,5,Cw,40106,Good,
21,5,Cw,40106,Fair,
22,5,Cw,40106,Good,
23,5,Cw,40106,Good,
24,5,Cw,40106,Good,
25,5,Cw,40106,Good,
26,5,Cw,40106,Fair,
27,5,Cw,40106,Good,
28,5,Cw,40106,Fair,
29,5,Cw,40106,Good,
30,5,Cw,40106,Good,
31,5,Cw,40106,Good,
32,5,Cw,40106,Fair,
33,5,Cw,40106,Fair,
34,5,Cw,40106,Good,
35,5,Cw,40106,Fair,
36,5,Cw,40106,Good,
1,6,Fd,63540,Poor,
2,6,Fd,63540,Fair,
3,6,Fd,63540,Poor,
4,6,Fd,63540,Fair,
5,6,Fd,63540,Fair,
6,6,Fd,63540,Fair,
7,6,Fd,63540,Poor,
8,6,Fd,63540,Poor,
9,6,Fd,63540,Good,
10,6,Fd,63540,Fair,
11,6,Fd,63540,Fair,
12,6,Fd,63540,Poor,
13,6,Fd,63540,Poor,
14,6,Fd,63540,Fair,
15,6,Fd,63540,Good,
16,6,Fd,63540,Poor,
17,6,Fd,63540,Poor,
18,6,Fd,63540,Poor,
19,6,Fd,63540,Poor,
20,6,Fd,63540,Poor,
21,6,Fd,63540,Fair,
22,6,Fd,63540,Fair,
23,6,Fd,63540,Poor,
24,6,Fd,63540,Fair,
25,6,Fd,63540,Poor,
26,6,Fd,63540,Moribund,
27,6,Fd,63540,Fair,
28,6,Fd,63540,Poor,
29,6,Fd,63540,Fair,
30,6,Fd,63540,Fair,
31,6,Fd,63540,Poor,
32,6,Fd,63540,Poor,
33,6,Fd,63540,Poor,
34,6,Fd,63540,Missing,"huge stump, poor planting site"
35,6,Fd,63540,Fair,
36,6,Fd,63540,Poor,
1,7,Sx,8482,Good,
2,7,Sx,8482,Good,
3,7,Sx,8482,Fair,
4,7,Sx,8482,Good,
5,7,Sx,8482,Fair,
6,7,Sx,8482,Fair,
7,7,Sx,8482,Good,
8,7,Sx,8482,Good,
9,7,Sx,8482,Good,
10,7,Sx,8482,Good,
11,7,Sx,8482,Good,
12,7,Sx,8482,Good,
13,7,Sx,8482,Good,
14,7,Sx,8482,Good,
15,7,Sx,8482,Good,
16,7,Sx,8482,Good,
17,7,Sx,8482,Good,
18,7,Sx,8482,Fair,
19,7,Sx,8482,Good,
20,7,Sx,8482,Good,
21,7,Sx,8482,Good,
22,7,Sx,8482,Good,
23,7,Sx,8482,Good,
24,7,Sx,8482,Good,
25,7,Sx,8482,Fair,
26,7,Sx,8482,Good,
27,7,Sx,8482,Fair,
