Site,SMR,RSMR,BGC,asmr,Block,Plot,Row,Species,Seedlot,Root Collar,Height 2018,Height 2017,Height 2016,Height 2015,Height 2014,Height 2013,Vigour,Frost,Browse,Form,Photo,Comments:,Assess.year
Burns Lake,SX,2,SBSdk,0.80693,1,1,1,Cw,B,NA,NA,NA,NA,NA,26.8,NA,3,NA,NA,NA,NA,NA,2018
Burns Lake,SX,2,SBSdk,0.80693,1,1,1,Cw,A,NA,NA,NA,NA,NA,26.3,NA,3,NA,NA,NA,NA,NA,2018
Burns Lake,SX,2,SBSdk,0.80693,1,1,1,Cw,C,NA,NA,NA,NA,NA,19.4,NA,3,NA,NA,NA,NA,NA,2018
Burns Lake,SX,2,SBSdk,0.80693,1,1,2,Fdi,A,6.1,31.5,30.9,28.7,27.3,24.1,NA,2,1,0,1,NA,chlorotic,2018
Burns Lake,SX,2,SBSdk,0.80693,1,1,2,Fdi,C,5.8,23,21.8,19.7,18.6,16.5,NA,2,2,0,2,NA,NA,2018
Burns Lake,SX,2,SBSdk,0.80693,1,1,2,Fdi,B,NA,NA,NA,NA,NA,29.4,NA,3,NA,NA,NA,NA,NA,2018
Burns Lake,SX,2,SBSdk,0.80693,1,1,3,Lw,A,NA,NA,NA,NA,NA,11.6,NA,3,NA,NA,NA,NA,NA,2018
Burns Lake,SX,2,SBSdk,0.80693,1,1,3,Lw,B,NA,NA,NA,NA,NA,30.6,NA,3,NA,NA,NA,NA,NA,2018
Burns Lake,SX,2,SBSdk,0.80693,1,2,1,Cw,B,NA,NA,NA,NA,NA,31.2,NA,3,NA,NA,NA,NA,NA,2018
Burns Lake,SX,2,SBSdk,0.80693,1,2,1,Cw,A,NA,NA,NA,NA,NA,27.6,NA,3,NA,NA,NA,NA,NA,2018
Burns Lake,SX,2,SBSdk,0.80693,1,2,1,Cw,C,NA,NA,NA,NA,NA,22.2,NA,3,NA,NA,NA,NA,NA,2018
