Site,SMR,RSMR,BGC,asmr,Block,Plot,Row,Species,Seedlot,Root Collar,Height 2018,Height 2017,Height 2016,Height 2015,Height 2014,Height 2013,Vigour,Frost,Browse,Form,Photo,Comments:,Assess.year
Pidherny,SX,2,SBSdw3,0.8295,1,1,1,Fdi,B,NA,NA,NA,NA,NA,NA,16,3,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,1,1,Fdi,A,NA,NA,NA,NA,NA,NA,32,3,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,1,1,Fdi,C,10.3,43.5,39,33,26.7,25.6,19.6,0,0,0,1,NA,crook,2018
Pidherny,SX,2,SBSdw3,0.8295,1,1,2,Cw,C,7.6,12,NA,NA,32.3,NA,NA,2,0,2,2,NA,top dead,2018
Pidherny,SX,2,SBSdw3,0.8295,1,1,2,Cw,A,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,1,2,Cw,B,NA,NA,NA,NA,NA,NA,20.3,3,NA,NA,NA,NA,"missing, confirmed dead",2018
Pidherny,SX,2,SBSdw3,0.8295,1,1,3,Lw,B,21.8,193,110,73,61.7,33.2,21.3,0,0,0,0,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,1,3,Lw,A,9.7,31,29,22,18.6,18.6,18.3,1,0,0,0,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,2,1,Lw,B,8.6,33,26,21,24.2,22.1,24,1,0,0,1,NA,- dead top - June 2016 height was 24.2cm,2018
Pidherny,SX,2,SBSdw3,0.8295,1,2,1,Lw,A,NA,NA,NA,NA,NA,NA,19.1,3,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,2,2,Fdi,C,12.2,51.5,45,31,29.5,25.5,20.2,0,0,0,0,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,2,2,Fdi,B,NA,NA,NA,NA,NA,NA,22.2,3,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,2,2,Fdi,A,NA,NA,NA,NA,NA,NA,29.2,3,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,2,3,Cw,C,NA,NA,NA,NA,NA,NA,26.2,3,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,2,3,Cw,B,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,2,3,Cw,A,NA,NA,NA,NA,NA,NA,37.2,3,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,3,1,Lw,B,9.4,28,25.5,21,17.9,15.9,13.7,1,0,0,1,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,3,1,Lw,A,NA,NA,NA,NA,NA,NA,19.7,3,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,3,2,Fdi,B,11.3,43.5,38,33,29.3,26.2,23.6,0,0,0,0,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,3,2,Fdi,A,12.9,57,55.5,48.5,44,40.9,36.1,1,0,0,1,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,3,2,Fdi,C,NA,NA,NA,NA,NA,NA,27.9,3,NA,NA,NA,NA,NA,2018
Pidherny,SX,2,SBSdw3,0.8295,1,3,3,Cw,B,NA,NA,NA,NA,NA,NA,27.2,3,NA,NA,NA,NA,NA,2018
