Site,SMR,RSMR,BGC,asmr,Block,Plot,Row,Species,Seedlot,Root Collar,Height 2018,Height 2017,Height 2016,Height 2015,Height 2014,Height 2013,Vigour,Frost,Browse,Form,Photo,Comments:,Assess.year
Bear Lake,X,1,SBSwk1,0.889583333,1,1801,1,Cw,A,NA,NA,NA,NA,NA,NA,36.9,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1801,1,Cw,C,NA,NA,NA,NA,NA,NA,24.3,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1801,1,Cw,B,NA,NA,NA,NA,NA,NA,29.2,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1801,2,Fdi,A,6.2,33,29,NA,37,35.1,34,2,0,0,2,NA,2018 topkill,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1801,2,Fdi,C,6.4,21,19,NA,26.6,29.2,26.3,2,0,0,2,NA,2018 topkill,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1801,2,Fdi,B,NA,NA,NA,NA,NA,NA,21.4,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1801,3,Lw,A,NA,NA,NA,NA,NA,NA,17.3,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1801,3,Lw,B,NA,NA,NA,NA,NA,NA,27.6,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1802,1,Cw,A,NA,NA,NA,NA,NA,NA,27.1,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1802,1,Cw,B,NA,NA,NA,NA,NA,NA,27.3,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1802,1,Cw,C,NA,NA,NA,NA,NA,NA,32.1,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1802,2,Fdi,A,NA,NA,NA,NA,NA,NA,40.1,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1802,2,Fdi,C,NA,NA,NA,NA,NA,NA,18,3,NA,NA,NA,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1802,2,Fdi,B,9.2,40,35,32,33.2,30.8,25.9,1,0,0,0,NA,needles slightly chlorotic,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1802,3,Lw,A,6.6,8,6,NA,5.9,15.8,15.7,2,0,2,2,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1802,3,Lw,B,7.6,37,32,30,32.2,25.8,22,1,0,0,0,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1803,1,Cw,C,5.7,30,NA,NA,28.5,NA,NA,2,0,0,0,NA,NA,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1803,1,Cw,A,7.8,24,NA,NA,31.7,NA,NA,2,0,0,2,NA,topkill,2018
Bear Lake,X,1,SBSwk1,0.889583333,1,1803,1,Cw,B,NA,NA,NA,NA,NA,NA,13.9,3,NA,NA,NA,NA,NA,2018
