"FID","Plot","Row","Column","Date","Species","Seedlot","TreeID","Height","Diameter","Condition","Dmg.Agent","Dmg.Severity","Comments"
"FID15",1,1,1,2019-10-22,"Sx","A",1,20.4304143041372,6.87474919110537,"Good",NA,NA,NA
"FID15",1,1,2,2019-10-22,"Sx","A",2,12.3565548285842,14.0130677977577,"Good",NA,NA,NA
"FID15",1,1,3,2019-10-22,"Sx","A",3,18.2409039372578,9.53540762886405,"Good",NA,NA,NA
"FID15",1,1,4,2019-10-22,"Sx","A",4,18.9838369656354,13.7313604839146,"Good",NA,NA,NA
"FID15",1,1,5,2019-10-22,"Sx","A",5,26.8402704969049,13.9013834642246,"Good",NA,NA,NA
"FID15",1,1,6,2019-10-22,"Sx","A",6,12.0591033482924,16.5422635637224,"Good",NA,NA,NA
"FID15",1,2,6,2019-10-22,"Sx","A",7,16.3703185552731,13.5223294589669,"Good",NA,NA,NA
"FID15",1,2,5,2019-10-22,"Sx","A",8,16.1659883474931,13.9947010083124,"Good",NA,NA,NA
"FID15",1,2,4,2019-10-22,"Sx","A",9,15.5904178787023,6.87374467588961,"Good",NA,NA,NA
"FID15",1,2,3,2019-10-22,"Sx","A",10,29.1934356605634,16.4532893039286,"Good",NA,NA,NA
"FID15",1,2,2,2019-10-22,"Sx","A",11,26.511015901342,5.96778694260865,"Good",NA,NA,NA
"FID15",1,2,1,2019-10-22,"Sx","A",12,10.2389312861487,9.03759302478284,"Poor",NA,NA,NA
"FID15",1,3,1,2019-10-22,"Sx","A",13,NA,NA,"Missing",NA,NA,NA
"FID15",1,3,2,2019-10-22,"Sx","A",14,23.2709697121754,8.51659441180527,"Good",NA,NA,NA
"FID15",1,3,3,2019-10-22,"Sx","A",15,10.7231818744913,13.4847426693887,"Good",NA,NA,NA
"FID15",1,3,4,2019-10-22,"Sx","A",16,23.9296671468765,7.60263482760638,"Good",NA,NA,NA
"FID15",1,3,5,2019-10-22,"Sx","A",17,18.6874417774379,6.49518173281103,"Good",NA,NA,NA
"FID15",1,3,6,2019-10-22,"Sx","A",18,20.5453785695136,15.9876621328294,"Good",NA,NA,NA
"FID15",1,4,6,2019-10-22,"Sx","A",19,12.4632700439543,12.3041611714289,"Good",NA,NA,NA
"FID15",1,4,5,2019-10-22,"Sx","A",20,25.1578416209668,7.02085019461811,"Good",NA,NA,NA
"FID15",1,4,4,2019-10-22,"Sx","A",21,13.8979602884501,10.7335944818333,"Good",NA,NA,NA
"FID15",1,4,3,2019-10-22,"Sx","A",22,15.4971943516284,6.33936071116477,"Good",NA,NA,NA
"FID15",1,4,2,2019-10-22,"Sx","A",23,15.9354523010552,13.0931053236127,"Good",NA,NA,NA
"FID15",1,4,1,2019-10-22,"Sx","A",24,13.8386473152786,6.32982242107391,"Poor",NA,NA,NA
"FID15",1,5,1,2019-10-22,"Sx","A",25,26.993602165021,5.85239318665117,"Good",NA,NA,NA
"FID15",1,5,2,2019-10-22,"Sx","A",26,21.4195108786225,14.434723845683,"Good",NA,NA,NA
"FID15",1,5,3,2019-10-22,"Sx","A",27,12.0346565078944,5.38469314295799,"Good",NA,NA,NA
"FID15",1,5,4,2019-10-22,"Sx","A",28,12.025115727447,11.2393722459674,"Good",NA,NA,NA
"FID15",1,5,5,2019-10-22,"Sx","A",29,10.8078147890046,14.2501125736162,"Fair",NA,NA,NA
"FID15",1,5,6,2019-10-22,"Sx","A",30,16.340466151014,6.75652623269707,"Good",NA,NA,NA
"FID15",1,6,6,2019-10-22,"Sx","A",31,24.1426473855972,5.38212103024125,"Fair",NA,NA,NA
"FID15",1,6,5,2019-10-22,"Sx","A",32,23.1105628749356,12.1070088315755,"Good",NA,NA,NA
"FID15",1,6,4,2019-10-22,"Sx","A",33,13.8096817908809,14.2005633329973,"Good",NA,NA,NA
"FID15",1,6,3,2019-10-22,"Sx","A",34,17.4704164266586,14.3776875203475,"Good",NA,NA,NA
"FID15",1,6,2,2019-10-22,"Sx","A",35,25.540117463097,15.7256746124476,"Good",NA,NA,NA
"FID15",1,6,1,2019-10-22,"Sx","A",36,21.531188795343,11.5368318352848,"Good",NA,NA,NA
"FID15",2,1,1,2019-10-22,"Sx","B",1,10.7451810222119,6.39379813242704,"Good",NA,NA,NA
"FID15",2,1,2,2019-10-22,"Sx","B",2,22.9962534597144,12.4651466775686,"Moribund",NA,NA,NA
"FID15",2,1,3,2019-10-22,"Sx","B",3,12.7909658709541,10.153947038576,"Fair",NA,NA,NA
"FID15",2,1,4,2019-10-22,"Sx","B",4,14.3780739279464,14.5687104230747,"Good",NA,NA,NA
"FID15",2,1,5,2019-10-22,"Sx","B",5,10.22497784812,6.95848684571683,"Good",NA,NA,NA
"FID15",2,1,6,2019-10-22,"Sx","B",6,16.4767787093297,5.64556673634797,"Good",NA,NA,NA
"FID15",2,2,6,2019-10-22,"Sx","B",7,28.0047489935532,6.84037943184376,"Good",NA,NA,NA
"FID15",2,2,5,2019-10-22,"Sx","B",8,23.6219066055492,15.3399634314701,"Good",NA,NA,NA
"FID15",2,2,4,2019-10-22,"Sx","B",9,12.8855026513338,11.8148334091529,"Good",NA,NA,NA
"FID15",2,2,3,2019-10-22,"Sx","B",10,13.8491450296715,16.814685575664,"Good",NA,NA,NA
"FID15",2,2,2,2019-10-22,"Sx","B",11,17.21622843761,12.2126248320565,"Good",NA,NA,NA
"FID15",2,2,1,2019-10-22,"Sx","B",12,17.0824392419308,15.2758071180433,"Moribund",NA,NA,NA
"FID15",2,3,1,2019-10-22,"Sx","B",13,15.0115296524018,7.72586179897189,"Good",NA,NA,NA
"FID15",2,3,2,2019-10-22,"Sx","B",14,24.2594411317259,12.8944937363267,"Good",NA,NA,NA
"FID15",2,3,3,2019-10-22,"Sx","B",15,14.0789228770882,11.0013827010989,"Good",NA,NA,NA
"FID15",2,3,4,2019-10-22,"Sx","B",16,25.1060189213604,12.9426451465115,"Good",NA,NA,NA
"FID15",2,3,5,2019-10-22,"Sx","B",17,18.4423830965534,15.0419355854392,"Poor",NA,NA,NA
"FID15",2,3,6,2019-10-22,"Sx","B",18,23.9504829142243,5.55416230577976,"Fair",NA,NA,NA
"FID15",2,4,6,2019-10-22,"Sx","B",19,29.2670327518135,12.5481664724648,"Good",NA,NA,NA
"FID15",2,4,5,2019-10-22,"Sx","B",20,19.8607723973691,12.605999307707,"Good",NA,NA,NA
"FID15",2,4,4,2019-10-22,"Sx","B",21,29.8312278371304,11.6415561912581,"Good",NA,NA,NA
"FID15",2,4,3,2019-10-22,"Sx","B",22,17.8082028543577,6.78673633839935,"Good",NA,NA,NA
"FID15",2,4,2,2019-10-22,"Sx","B",23,18.3225835906342,9.60796495340765,"Good",NA,NA,NA
"FID15",2,4,1,2019-10-22,"Sx","B",24,27.6753938617185,12.5375298094004,"Good",NA,NA,NA
"FID15",2,5,1,2019-10-22,"Sx","B",25,19.2640465311706,6.97370608523488,"Good",NA,NA,NA
"FID15",2,5,2,2019-10-22,"Sx","B",26,15.0748953362927,5.3338412316516,"Good",NA,NA,NA
"FID15",2,5,3,2019-10-22,"Sx","B",27,22.8451871313155,10.2075723735616,"Good",NA,NA,NA
"FID15",2,5,4,2019-10-22,"Sx","B",28,25.401546866633,5.8237194782123,"Good",NA,NA,NA
"FID15",2,5,5,2019-10-22,"Sx","B",29,23.0790946120396,6.79647062532604,"Good",NA,NA,NA
"FID15",2,5,6,2019-10-22,"Sx","B",30,20.5385480728,5.95149352308363,"Good",NA,NA,NA
"FID15",2,6,6,2019-10-22,"Sx","B",31,16.2639900157228,10.9677105117589,"Good",NA,NA,NA
"FID15",2,6,5,2019-10-22,"Sx","B",32,15.3244684636593,5.90037618763745,"Good",NA,NA,NA
"FID15",2,6,4,2019-10-22,"Sx","B",33,20.8702692575753,15.3302846914157,"Good",NA,NA,NA
"FID15",2,6,3,2019-10-22,"Sx","B",34,25.286130188033,5.23128495272249,"Good",NA,NA,NA
"FID15",2,6,2,2019-10-22,"Sx","B",35,13.1050328910351,8.15120677277446,"Good",NA,NA,NA
"FID15",2,6,1,2019-10-22,"Sx","B",36,29.0925581939518,10.9023151826113,"Good",NA,NA,NA
"FID15",3,1,1,2019-10-22,"Sx","C",1,24.1040636599064,9.80470644310117,"Good",NA,NA,NA
"FID15",3,1,2,2019-10-22,"Sx","C",2,17.5441223708913,10.152345340699,"Poor",NA,NA,NA
"FID15",3,1,3,2019-10-22,"Sx","C",3,14.5924537023529,16.0271050864831,"Good",NA,NA,NA
"FID15",3,1,4,2019-10-22,"Sx","C",4,26.8548406474292,14.7580842366442,"Good",NA,NA,NA
"FID15",3,1,5,2019-10-22,"Sx","C",5,13.3663877146319,9.28629194013774,"Good",NA,NA,NA
"FID15",3,1,6,2019-10-22,"Sx","C",6,19.3429805198684,9.06228469777852,"Good",NA,NA,NA
"FID15",3,2,6,2019-10-22,"Sx","C",7,14.1402644431219,6.8666993258521,"Fair",NA,NA,NA
"FID15",3,2,5,2019-10-22,"Sx","C",8,10.7826980389655,13.2471614489332,"Moribund",NA,NA,NA
"FID15",3,2,4,2019-10-22,"Sx","C",9,21.8059892207384,6.21406073030084,"Good",NA,NA,NA
"FID15",3,2,3,2019-10-22,"Sx","C",10,27.6341995829716,5.58559062052518,"Poor",NA,NA,NA
"FID15",3,2,2,2019-10-22,"Sx","C",11,12.9483164846897,15.0177653478459,"Good",NA,NA,NA
"FID15",3,2,1,2019-10-22,"Sx","C",12,10.3630453115329,8.49337643384933,"Good",NA,NA,NA
"FID15",3,3,1,2019-10-22,"Sx","C",13,10.6312864553183,9.50486293435097,"Dead",NA,NA,NA
"FID15",3,3,2,2019-10-22,"Sx","C",14,20.2809582231566,15.7541051870212,"Good",NA,NA,NA
"FID15",3,3,3,2019-10-22,"Sx","C",15,21.3034477969632,6.1709292223677,"Good",NA,NA,NA
"FID15",3,3,4,2019-10-22,"Sx","C",16,10.1584475440904,5.239277924411,"Good",NA,NA,NA
"FID15",3,3,5,2019-10-22,"Sx","C",17,26.5968030830845,14.1848699655384,"Good",NA,NA,NA
